#CreditRating,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
AA,,,,,,4302878.60976,USD,9151859.36471
A,,,,,,-1425866.31949,USD,4766170.84294
C,,,,,,393126.310845,USD,5487938.52567
B,,,,,,-1789831.69704,USD,3295039.20215
AAA,,,,,,1584811.50869,USD,9198771.09317
BB,,,,,,2805287.76298,USD,8205918.11265
CC,,,,,,1165238.77286,USD,8282054.12472
BBB,,,,,,7467713.30949,USD,15390873.4836
NR,,,,,,1560352.41409,USD,4238959.04932
CCC,,,,,,-3650379.44106,USD,4067871.9231
