#TradeId,#CreditRating,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,A,188429.902,294001.524,-288287.382,-447161.0935,0.0,0.0,188429.902,294001.524,None,294001.524,1953541.02
,AA,467053.69,215745.5422,-711878.812,-330574.5917,0.0,0.0,467053.69,215745.5422,None,215745.5422,4710344.92
,C,304277.501,236768.99,-457769.2,-361539.43,0.0,0.0,304277.501,236768.99,None,236768.99,3152712.23
,B,155942.539,249288.06,-233798.949,-377490.35,0.0,0.0,155942.539,249288.06,None,249288.06,1589587.115
,AAA,336664.13,281105.32756,-510890.38,-419523.82693,0.0,0.0,336664.13,281105.32756,None,281105.32756,3469881.2
,BB,391190.346,232889.572,-594771.549,-349571.94,0.0,0.0,391190.346,232889.572,None,232889.572,3935840.54
,CC,294857.469,181746.413,-445378.911,-276982.452,0.0,0.0,294857.469,181746.413,None,181746.413,2983061.15
,BBB,691603.868,296997.192,-1053308.418,-443698.783,0.0,0.0,691603.868,296997.192,None,296997.192,6963907.87
,NR,171725.234,108029.701,-262214.895,-159588.314,0.0,0.0,171725.234,108029.701,None,108029.701,1729298.3
,CCC,178451.8765,424328.227,-272361.6934,-643195.338,0.0,0.0,178451.8765,424328.227,None,424328.227,1795584.717
