#CreditRating,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
AA,,,,,,2608151.33255,USD,8810254.21364
A,,,,,,-1346350.5671,USD,4388506.59925
C,,,,,,-61452.880559,USD,4396926.01534
B,,,,,,-563910.254111,USD,3139338.33943
AAA,,,,,,1129956.10502,USD,8767893.8937
BB,,,,,,1123867.19458,USD,7604940.44479
CC,,,,,,1600080.82854,USD,6872771.62153
BBB,,,,,,3758366.35735,USD,12523974.3196
NR,,,,,,152600.422742,USD,3950738.91623
CCC,,,,,,-1982308.13211,USD,4890179.7804
