#TradeId,#CreditRating,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,A,197725.45,279229.2556,-334006.0,-472879.9511,0.0,0.0,197725.45,279229.2556,None,279229.2556,2163884.5
,AA,423986.97,258766.56067,-711973.302,-444327.11169,0.0,0.0,423986.97,258766.56067,None,258766.56067,4630287.57
,C,227661.878,206271.27,-380326.795,-348841.53,0.0,0.0,227661.878,206271.27,None,206271.27,2601310.74
,B,152840.01,165176.717,-256707.987,-276800.696,0.0,0.0,152840.01,165176.717,None,165176.717,1696595.88
,AAA,339641.84,322372.50252,-578688.97,-543573.7094,0.0,0.0,339641.84,322372.50252,None,322372.50252,3719758.1
,BB,363810.908,268964.04,-614348.579,-458818.94,0.0,0.0,363810.908,268964.04,None,268964.04,3960670.74
,CC,266590.539,143142.029,-449690.869,-239784.904,0.0,0.0,266590.539,143142.029,None,143142.029,2898647.54
,BBB,548023.46,366351.185,-925875.038,-619042.606,0.0,0.0,548023.46,366351.185,None,366351.185,5954296.76
,NR,143996.235,153364.444,-243232.269,-258334.263,0.0,0.0,143996.235,153364.444,None,153364.444,1566594.89
,CCC,220231.54493,355860.754,-375982.74631,-601233.01,0.0,0.0,220231.54493,355860.754,None,355860.754,2367961.6674
