#Total,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
Total,2016-06-29,0,46781179.0,34812768.34,46781179.0,-11968410.66,46781179.0,46781179.0
Total,2016-09-29,0.251366,47358331.53,35304931.19,67097909.93,0.0,47437616.88,47473472.38
Total,2016-12-29,0.5,47210741.4,35334018.26,74694905.09,0.0,47368095.27,48216081.07
Total,2017-03-29,0.746553,47778601.94,35796126.16,81636694.76,0.0,48019591.94,48743367.07
Total,2017-06-29,0.998608,45658366.41,34453061.33,84646210.19,0.0,45971864.83,49182788.49
Total,2017-09-29,1.25066,46270486.67,34956423.42,90112295.18,0.0,46675916.54,49575540.97
Total,2017-12-29,1.49998,45878926.98,34824301.45,94658926.09,0.0,46374654.13,49897597.33
Total,2018-03-29,1.74655,46410052.13,35236992.54,99431793.07,0.0,47005793.79,50227884.36
Total,2018-06-29,1.99861,44322051.77,33932277.58,100047102.39,0.0,44983226.18,50668912.3
Total,2018-10-01,2.25614,44807061.87,34305477.96,104805050.61,0.0,45585552.54,50953240.86
Total,2018-12-31,2.50546,44370058.07,34126854.26,105736672.37,0.0,45247212.34,51213491.37
Total,2019-03-29,2.74655,44811417.71,34445229.82,109043636.79,0.0,45801319.84,51422271.38
Total,2019-07-01,3.00409,42819515.51,33211747.34,108318978.72,0.0,43871858.61,51892287.06
Total,2019-09-30,3.2534,43160168.49,33437785.63,111404832.4,0.0,44346662.3,52060327.2
Total,2019-12-30,3.50272,42667233.1,33142744.27,113584187.6,0.0,43964926.57,52262921.45
Total,2020-03-30,3.75137,42952135.74,33321585.79,116185197.0,0.0,44384373.01,52373201.36
Total,2020-06-29,4,40891563.48,32149032.08,114508304.5,0.0,42375305.85,52774450.35
Total,2020-09-29,4.25137,41218210.98,32356870.29,116656431.4,0.0,42855450.86,52904521.18
Total,2020-12-29,4.5,40654623.95,31946715.98,117518004.6,0.0,42408475.18,53042169.75
Total,2021-03-29,4.74655,40942981.45,32134718.24,119329976.7,0.0,42848208.66,53152505.42
Total,2021-06-29,4.99861,38951351.2,30907204.17,115909871.2,0.0,40899442.65,53469683.69
Total,2021-09-29,5.25066,39181005.98,31012183.41,118215691.54,0.0,41294355.68,53556800.68
Total,2021-12-29,5.49998,38413630.56,30407472.69,115854412.24,0.0,40635618.04,53636999.32
Total,2022-03-29,5.74655,38577648.86,30452577.38,116370517.35,0.0,40958723.19,53674402.99
Total,2022-06-29,5.99861,36893117.56,29336618.03,114598602.13,0.0,39316998.97,53936333.21
Total,2022-09-29,6.25066,37057888.62,29385792.78,115407282.33,0.0,39655107.86,54004018.54
Total,2022-12-29,6.49998,36352204.09,28839291.59,113762360.61,0.0,39058607.83,54099997.47
Total,2023-03-29,6.74655,36639847.49,28997819.52,115523739.33,0.0,39526446.7,54157347.07
Total,2023-06-29,6.99861,34819907.99,27872121.41,111885638.37,0.0,37717993.13,54368693.39
Total,2023-09-29,7.25066,34979585.44,27952296.93,113134873.97,0.0,38059729.58,54415657.69
Total,2023-12-29,7.49998,34288976.74,27382847.84,110823787.81,0.0,37473213.21,54461701.01
Total,2024-04-02,7.75956,34420898.09,27465573.31,110525573.76,0.0,37790990.18,54510563.96
Total,2024-07-01,8.00546,32626177.88,26349693.55,106674033.43,0.0,35977153.34,54615299.54
Total,2024-09-30,8.2541,32814839.09,26425136.69,107002045.44,0.0,36353969.26,54660838.04
Total,2024-12-30,8.50273,31994212.46,25765359.74,106537390.11,0.0,35610132.97,54681683.84
Total,2025-03-31,8.75203,32159036.43,25811905.17,106557119.16,0.0,35960562.72,54694544.82
Total,2025-06-30,9.00135,30620249.28,24811790.75,105040252.44,0.0,34399571.96,54792129.48
Total,2025-09-29,9.25066,30729001.31,24822570.49,105637632.45,0.0,34689152.99,54812502.78
Total,2025-12-29,9.49998,29952163.4,24146070.0,102590040.96,0.0,33976258.87,54837351.13
Total,2026-03-30,9.74929,30049759.6,24149192.51,103328036.62,0.0,34252355.79,54865530.43
Total,2026-06-29,9.99861,28415999.77,23122015.12,99073693.98,0.0,32547224.04,54929693.14
Total,2026-09-29,10.2507,28397938.16,22971009.22,98216025.06,0.0,32693354.48,54942323.54
Total,2026-12-29,10.5,27647905.41,22341085.01,95040753.17,0.0,31991486.15,54948405.53
Total,2027-03-30,10.7493,27682354.54,22264031.74,95519737.23,0.0,32193975.83,54962231.89
Total,2027-06-29,10.9986,25948933.02,21279068.48,91361463.25,0.0,30331272.79,54979769.56
Total,2027-09-29,11.2507,26153549.62,21298305.65,92481382.45,0.0,30727346.09,55003404.46
Total,2027-12-29,11.5,25356931.55,20657406.0,88903077.65,0.0,29942673.26,55011210.78
Total,2028-03-29,11.7486,25416472.82,20543168.29,88962731.86,0.0,30165363.66,55021999.52
Total,2028-06-29,12,23679673.91,19688394.04,85200761.83,0.0,28248329.46,55027180.84
Total,2028-09-29,12.2514,23735036.55,19619499.03,86907444.2,0.0,28465022.02,55038684.45
Total,2028-12-29,12.5,23174334.67,19069785.45,85390666.46,0.0,27939078.99,55062610.97
Total,2029-03-29,12.7466,23080169.06,18860915.59,84909496.29,0.0,27970611.54,55070289.7
Total,2029-06-29,12.9986,21447925.91,18067297.35,79054087.51,0.0,26131049.67,55084254.0
Total,2029-10-01,13.2561,21460307.79,17931786.87,79044479.12,0.0,26288519.21,55090680.61
Total,2029-12-31,13.5055,20732385.41,17323395.17,76747574.09,0.0,25530708.49,55105062.39
Total,2030-03-29,13.7466,20688555.18,17159676.41,77482649.44,0.0,25606576.44,55108733.56
Total,2030-07-01,14.0041,19218285.46,16272264.16,72299584.21,0.0,23916337.86,55115316.6
Total,2030-09-30,14.2534,19196574.97,16133221.0,71988950.72,0.0,24015239.55,55120246.02
Total,2030-12-30,14.5027,18409751.27,15426238.56,68892455.4,0.0,23152312.03,55128063.42
Total,2031-03-31,14.752,18503439.78,15401718.58,69171423.49,0.0,23392812.35,55128745.71
Total,2031-06-30,15.0013,17087728.39,14525643.05,63969387.72,0.0,21716880.11,55134948.77
Total,2031-09-29,15.2507,17028327.93,14372182.22,63415191.33,0.0,21756140.19,55143624.27
Total,2031-12-29,15.5,16397527.36,13826315.18,61337867.2,0.0,21061292.63,55149644.67
