#CreditRating,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
AA,,,,,,4183825.1927,USD,9056545.78021
A,,,,,,-1447218.97912,USD,4662364.37439
C,,,,,,349341.350438,USD,5344374.47416
B,,,,,,-1640232.86224,USD,3254571.69462
AAA,,,,,,1571332.61194,USD,9009823.01448
BB,,,,,,2656710.39761,USD,8122934.17569
CC,,,,,,1212008.82222,USD,8134893.60238
BBB,,,,,,7068005.94511,USD,15003995.3057
NR,,,,,,1418764.00843,USD,4197173.52522
CCC,,,,,,-3484868.70272,USD,4141889.91634
