#TradeId,#CreditRating,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,A,188545.591,293743.5401,-281772.85,-436881.871,0.0,0.0,188545.591,293743.5401,None,293743.5401,1960767.28
,AA,465781.143,218788.2642,-694044.753,-327725.8531,0.0,0.0,465781.143,218788.2642,None,218788.2642,4723771.87
,C,296880.596,233616.49,-436921.41,-348547.28,0.0,0.0,296880.596,233616.49,None,233616.49,3099556.76
,B,154526.3342,238607.55,-226330.534,-353272.39,0.0,0.0,154526.3342,238607.55,None,238607.55,1585281.926
,AAA,338927.25,283992.66819,-502992.65,-415024.93684,0.0,0.0,338927.25,283992.66819,None,283992.66819,3511918.0
,BB,388236.378,236497.891,-576834.452,-347805.37,0.0,0.0,388236.378,236497.891,None,236497.891,3925718.22
,CC,293270.234,178031.254,-433262.879,-265256.417,0.0,0.0,293270.234,178031.254,None,178031.254,2981573.8
,BBB,674608.05,304143.3,-1004358.187,-444917.925,0.0,0.0,674608.05,304143.3,None,304143.3,6829104.95
,NR,168011.518,111454.625,-250478.2,-161506.533,0.0,0.0,168011.518,111454.625,None,111454.625,1700756.59
,CCC,182469.8846,416916.365,-272151.6409,-618268.132,0.0,0.0,182469.8846,416916.365,None,416916.365,1844397.593
