#TradeId,#CreditRating,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,A,188600.009,283784.2011,-300744.26,-451882.647,0.0,0.0,188600.009,283784.2011,None,283784.2011,2004046.72
,AA,436541.398,231552.4026,-691982.599,-372166.9809,0.0,0.0,436541.398,231552.4026,None,231552.4026,4577781.85
,C,252888.282,215611.363,-393696.5,-343176.85,0.0,0.0,252888.282,215611.363,None,215611.363,2755313.13
,B,147410.394,192006.847,-225757.992,-299788.1,0.0,0.0,147410.394,192006.847,None,192006.847,1569400.88
,AAA,327624.52,293195.45255,-521803.48,-454376.46304,0.0,0.0,327624.52,293195.45255,None,293195.45255,3492871.8
,BB,376772.921,247377.03,-595723.242,-390485.54,0.0,0.0,376772.921,247377.03,None,247377.03,3933698.56
,CC,274988.123,154046.786,-434049.397,-244575.463,0.0,0.0,274988.123,154046.786,None,154046.786,2875250.84
,BBB,596408.659,333944.371,-946608.066,-518765.052,0.0,0.0,596408.659,333944.371,None,333944.371,6230987.01
,NR,155291.941,128125.899,-246770.256,-197033.83,0.0,0.0,155291.941,128125.899,None,128125.899,1616199.97
,CCC,197179.81031,377171.079,-315730.1172,-596346.82,0.0,0.0,197179.81031,377171.079,None,377171.079,2048326.608
