#TradeId,NettingSetId,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CSA_1,2905.21,71103.1,-4169.11,-116343,0,0,2905.21,71103.1,None,32317.7,42617
Trade_9765,CSA_1,726.33,21316.5,-980.645,-33573.4,n/a,n/a,0,0,None,8413.96,8842.21
Trade_7634,CSA_1,27.5684,20935.9,-37.1164,-36533.4,n/a,n/a,0,0,None,412.281,640.607
Trade_1112,CSA_1,2463.8,4907.19,-4695.19,-9225.73,n/a,n/a,0,0,None,50165.9,71493.1
Trade_1935,CSA_1,11482.8,2978.37,-18555.3,-4247.46,n/a,n/a,0,0,None,118049,224934
Trade_3609,CSA_1,5380.89,38141.2,-7573.46,-60435.7,n/a,n/a,0,0,None,59613,76810.2
,CSA_10,1585.35,47743.7,-2165.08,-73372.5,0,0,1585.35,47743.7,None,17992.6,21546.2
Trade_5367,CSA_10,1.3756,75.2585,-2.27015,-136.899,n/a,n/a,0,0,None,24.3084,29.5646
Trade_8951,CSA_10,72.0326,37869.1,-84.6271,-59463.4,n/a,n/a,0,0,None,887.685,1268.04
Trade_8675,CSA_10,2648.77,615.644,-4974.74,-1163.73,n/a,n/a,0,0,None,55543.9,111553
Trade_1104,CSA_10,3251.78,15125.3,-4665.84,-23107.3,n/a,n/a,0,0,None,35860.5,42143.9
Trade_5410,CSA_10,1560.84,7.81328,-2952.91,-16.4329,n/a,n/a,0,0,None,73878.8,143994
,CSA_100,1165.67,53385.2,-1442.14,-85767.7,0,0,1165.67,53385.2,None,13959.3,14821.9
Trade_5432,CSA_100,1788.9,15311.6,-2333.77,-23789.7,n/a,n/a,0,0,None,20853.5,22445.4
Trade_1927,CSA_100,2009.99,36600.9,-2648.42,-57535.1,n/a,n/a,0,0,None,23357.6,25415.8
Trade_4234,CSA_100,1688.85,0.231798,-3104.17,-0.478844,n/a,n/a,0,0,None,108100,200427
Trade_2958,CSA_100,65.2196,5377.82,-132.628,-10320.6,n/a,n/a,0,0,None,1956.47,3986.59
Trade_3935,CSA_100,17.0392,498.952,-35.8146,-934.522,n/a,n/a,0,0,None,686.301,834.428
,CSA_101,1268.87,38891.4,-1897.27,-63224.6,0,0,1268.87,38891.4,None,13682.1,20270
Trade_9149,CSA_101,20.757,0.614662,-33.43,-0.766572,n/a,n/a,0,0,None,214.904,388.913
Trade_9792,CSA_101,3016.07,15208.9,-4869.82,-25504,n/a,n/a,0,0,None,40042,51281.1
Trade_8867,CSA_101,667.804,21758.9,-884.71,-33789.6,n/a,n/a,0,0,None,7886.13,8183.38
Trade_2060,CSA_101,1047.36,3718.07,-1939.86,-6881.56,n/a,n/a,0,0,None,19253.6,27026.5
Trade_5582,CSA_101,335.717,2023.76,-511.467,-3390.67,n/a,n/a,0,0,None,4064.84,6371.9
,CSA_102,3219.87,43958.8,-4287.71,-67901.9,0,0,3219.87,43958.8,None,37356.9,39439.7
Trade_4808,CSA_102,2.14173,573.004,-2.58246,-903.536,n/a,n/a,0,0,None,27.6929,35.0038
Trade_8542,CSA_102,5625.26,27428.8,-7942.02,-41448.5,n/a,n/a,0,0,None,62918.3,69062.3
Trade_8068,CSA_102,707.494,19815.6,-961.14,-31392.1,n/a,n/a,0,0,None,8147.03,8754.79
Trade_7595,CSA_102,887.211,438.934,-1356.07,-666.117,n/a,n/a,0,0,None,9331.47,12347.4
Trade_6778,CSA_102,338.114,42.8318,-620.147,-85.8677,n/a,n/a,0,0,None,20499.3,29213.6
,CSA_103,24847.1,684.957,-43350.8,-839.967,0,0,24847.1,684.957,None,243278,759560
Trade_2367,CSA_103,1.15066,615.551,-1.92056,-1157.88,n/a,n/a,0,0,None,23.9289,30.9185
Trade_5178,CSA_103,23564.1,31.5263,-40543.1,-40.626,n/a,n/a,0,0,None,306794,541966
Trade_8847,CSA_103,3656.74,37.3436,-7029.68,-78.2556,n/a,n/a,0,0,None,137214,267741
Trade_7253,CSA_103,1933.87,4045.18,-2904.94,-6267.59,n/a,n/a,0,0,None,20678.6,24970.3
Trade_3284,CSA_103,9.50466,273.57,-11.8134,-436.289,n/a,n/a,0,0,None,115.841,117.718
,CSA_104,10837.9,1217.07,-16944.7,-1609.13,0,0,10837.9,1217.07,None,114202,163781
Trade_4918,CSA_104,2885.62,194.278,-5426.1,-361.477,n/a,n/a,0,0,None,60490.4,123408
Trade_4418,CSA_104,49.192,3.56007,-78.3105,-4.57461,n/a,n/a,0,0,None,514.505,896.834
Trade_7609,CSA_104,243.837,3124.22,-408.294,-5602.5,n/a,n/a,0,0,None,3951.13,6140.59
Trade_8691,CSA_104,11203.9,1461.71,-17476.2,-2121.11,n/a,n/a,0,0,None,117864,151651
