#Total,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
Total,2016-06-28,0,46137810.0,34383175.3,46137810.0,-11754634.7,46137810.0,46137810.0
Total,2016-09-28,0.251366,46715061.42,34875663.72,66512111.54,0.0,46790641.01,46827131.01
Total,2016-12-28,0.5,46583224.74,34921410.07,74258966.76,0.0,46733225.53,47573313.63
Total,2017-03-28,0.746545,47157782.9,35391259.46,81204647.7,0.0,47388806.48,48108100.88
Total,2017-06-28,0.9986,45078009.38,34080105.02,84278158.41,0.0,45379322.92,48552173.77
Total,2017-09-28,1.25065,45688969.85,34583656.66,89785332.28,0.0,46079724.67,48948185.5
Total,2017-12-28,1.49997,45303406.42,34457575.69,94130170.73,0.0,45782534.18,49268330.67
Total,2018-03-28,1.74655,45831499.06,34868694.02,98884434.74,0.0,46408177.79,49596822.32
Total,2018-06-28,1.9986,43774561.9,33586226.01,99465359.83,0.0,44415343.47,50036406.05
Total,2018-09-28,2.25065,44246927.67,33946510.92,104130521.54,0.0,45003950.68,50313757.63
Total,2018-12-28,2.49997,43816102.58,33774740.42,105057005.92,0.0,44673379.04,50574574.41
Total,2019-03-28,2.74655,44267505.83,34102891.16,108305592.9,0.0,45241365.98,50792222.79
Total,2019-06-28,2.9986,42288298.67,32875946.66,107495311.51,0.0,43324096.9,51257868.7
Total,2019-09-30,3.25613,42640312.92,33115231.18,110610553.4,0.0,43814097.45,51432888.37
Total,2019-12-30,3.50545,42155882.24,32828558.01,112745749.6,0.0,43440505.8,51635224.19
Total,2020-03-30,3.7541,42434775.78,33003913.76,115265040.28,0.0,43853235.01,51744939.33
Total,2020-06-29,4.00273,40404640.82,31852221.35,113730198.3,0.0,41874943.64,52148605.48
Total,2020-09-28,4.25137,40721159.1,32050736.44,115755629.6,0.0,42342760.18,52275155.05
Total,2020-12-29,4.50273,40163273.89,31646744.06,116487291.7,0.0,41902739.74,52410682.16
Total,2021-03-29,4.74929,40448486.85,31831935.33,118283923.0,0.0,42338750.49,52518583.06
Total,2021-06-28,4.9986,38482789.03,30617480.19,114823047.04,0.0,40414831.01,52832023.38
Total,2021-09-28,5.25065,38708990.91,30718194.96,116955424.66,0.0,40804729.17,52918076.29
Total,2021-12-29,5.50271,37950770.37,30122084.67,114590464.41,0.0,40155694.95,52999636.28
Total,2022-03-28,5.74655,38113715.91,30164921.29,115227835.72,0.0,40474612.4,53036065.25
Total,2022-06-28,5.9986,36455421.25,29065363.79,113478079.67,0.0,38858990.27,53292394.91
Total,2022-09-28,6.25065,36609171.55,29105320.4,113921126.94,0.0,39180530.65,53357207.5
Total,2022-12-28,6.49997,35915219.17,28565829.86,112593169.25,0.0,38591681.75,53451907.6
Total,2023-03-28,6.74655,36202787.24,28725001.44,114569242.79,0.0,39054659.7,53508171.98
Total,2023-06-28,6.9986,34412038.29,27618506.69,110948037.07,0.0,37273055.95,53716867.02
Total,2023-09-28,7.25065,34566159.15,27692923.54,112104339.55,0.0,37606770.34,53762098.3
Total,2023-12-28,7.49997,33884761.45,27128598.8,109814032.26,0.0,37028181.91,53807245.33
Total,2024-03-28,7.74863,34002887.11,27196339.59,109517356.76,0.0,37321291.62,53852378.18
Total,2024-06-28,8,32237971.95,26101083.62,105820958.88,0.0,35542067.99,53955473.32
Total,2024-09-30,8.25683,32429985.94,26180009.43,106296041.84,0.0,35923779.16,54000401.12
Total,2024-12-30,8.50546,31615614.05,25523651.17,105638765.26,0.0,35182905.8,54021516.68
