#CreditRating,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
AA,,,,,,4099714.3972,USD,8926830.2789
A,,,,,,-1429564.81832,USD,4619555.0895
C,,,,,,331924.866363,USD,5264870.28847
B,,,,,,-1599113.49014,USD,3209468.80736
AAA,,,,,,1558472.51656,USD,8883457.52189
BB,,,,,,2629024.84263,USD,8043446.45533
CC,,,,,,1199455.94904,USD,8008190.53735
BBB,,,,,,6956613.38683,USD,14825200.7639
NR,,,,,,1385523.67432,USD,4152173.19983
CCC,,,,,,-3445200.82032,USD,4113659.02283
