#TradeId,#CreditRating,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,A,187478.246,291169.2258,-275840.182,-426333.882,0.0,0.0,187478.246,291169.2258,None,291169.2258,1948866.24
,AA,458665.431,217674.6837,-673033.4,-320936.907,0.0,0.0,458665.431,217674.6837,None,217674.6837,4651703.42
,C,292574.099,230779.21,-423627.8,-339019.7,0.0,0.0,292574.099,230779.21,None,230779.21,3055208.07
,B,152982.0785,234340.81,-220335.447,-341673.07,0.0,0.0,152982.0785,234340.81,None,234340.81,1569459.066
,AAA,334934.45,280767.95778,-489161.12,-403454.82197,0.0,0.0,334934.45,280767.95778,None,280767.95778,3470664.8
,BB,385157.379,235224.466,-563214.297,-340333.64,0.0,0.0,385157.379,235224.466,None,235224.466,3894496.56
,CC,288779.997,174933.42,-419713.718,-256606.937,0.0,0.0,288779.997,174933.42,None,174933.42,2935692.42
,BBB,665614.51,301898.749,-975654.242,-434245.874,0.0,0.0,665614.51,301898.749,None,301898.749,6737692.92
,NR,166227.823,112141.353,-243911.511,-159738.189,0.0,0.0,166227.823,112141.353,None,112141.353,1682873.65
,CCC,181043.5229,412483.663,-265765.1482,-602189.481,0.0,0.0,181043.5229,412483.663,None,412483.663,1830022.214
