#CreditRating,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
AA,,,,,,2726388.14512,USD,9001677.76746
A,,,,,,-1504970.69091,USD,4351158.17973
C,,,,,,28241.168294,USD,4566422.93771
B,,,,,,-690872.020816,USD,3160495.52835
AAA,,,,,,1301104.75263,USD,9011318.21912
BB,,,,,,1111764.42615,USD,7712370.79138
CC,,,,,,1733621.5623,USD,7081288.46654
BBB,,,,,,3885619.21053,USD,12672820.2402
NR,,,,,,199672.35239,USD,4047609.96596
CCC,,,,,,-1971323.89587,USD,5032030.46207
