#TradeId,#CreditRating,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,A,196037.558,285528.4852,-381047.5,-555713.6146,0.0,0.0,196037.558,285528.4852,None,285528.4852,2152244.53
,AA,434915.163,258472.338084,-840638.113,-509125.111505,0.0,0.0,434915.163,258472.338084,None,258472.338084,4762571.25
,C,235427.041,207350.003,-454588.731,-403944.5,0.0,0.0,235427.041,207350.003,None,207350.003,2696171.34
,B,149667.137,170058.508,-291366.098,-329183.309,0.0,0.0,149667.137,170058.508,None,170058.508,1671398.0
,AAA,345276.96,317861.37278,-675716.01,-618508.39408,0.0,0.0,345276.96,317861.37278,None,317861.37278,3793867.1
,BB,366728.122,270213.728,-713574.5,-528984.31,0.0,0.0,366728.122,270213.728,None,270213.728,4006596.88
,CC,275390.277,143965.372,-535028.664,-277618.263,0.0,0.0,275390.277,143965.372,None,143965.372,3002999.68
,BBB,561144.342,366426.873,-1091125.927,-714675.688,0.0,0.0,561144.342,366426.873,None,366426.873,6117926.77
,NR,146151.062,151592.727,-284766.593,-294910.306,0.0,0.0,146151.062,151592.727,None,151592.727,1595234.56
,CCC,222337.364425,361665.137,-435915.11078,-702838.83,0.0,0.0,222337.364425,361665.137,None,361665.137,2396733.16546
