#CreditRating,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
AA,,,,,,3052271.05397,USD,8934693.3703
A,,,,,,-1381607.20618,USD,4305980.69796
C,,,,,,-88515.513655,USD,4452272.94656
B,,,,,,-761085.653268,USD,3158797.34673
AAA,,,,,,1172168.97838,USD,8734173.36281
BB,,,,,,1517130.27749,USD,7712853.74303
CC,,,,,,1364905.48373,USD,7128587.10135
BBB,,,,,,4414542.76676,USD,12847546.2721
NR,,,,,,367410.627424,USD,4023581.38946
CCC,,,,,,-2266817.21851,USD,4772047.18627
