#Total,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
Total,2015-11-30,0,41276833.51,33830164.5,41276833.51,-7446669.01,41276833.51,41276833.51
Total,2016-02-29,0.248873,41236260.54,33949713.65,58084097.99,0.0,41300451.77,42146991.87
Total,2016-05-31,0.50024,41897357.12,34498431.43,66396773.71,0.0,42028654.26,42759901.26
Total,2016-08-31,0.751606,40211494.35,33542283.77,70179240.5,0.0,40416421.93,43426734.29
Total,2016-11-30,1.00024,40812910.18,34000088.15,75259201.65,0.0,41115666.51,43806661.21
Total,2017-02-28,1.24658,40664554.47,34060904.65,78694633.63,0.0,41076034.24,44238711.06
Total,2017-05-31,1.49863,41209709.26,34467207.9,83972448.14,0.0,41761987.47,44624131.89
Total,2017-08-31,1.75068,39567238.19,33596042.35,85584757.9,0.0,40228242.39,45224701.1
Total,2017-11-30,2,40063918.9,33928991.48,88801599.19,0.0,40864563.04,45451012.93
Total,2018-02-28,2.24658,39697427.47,33752417.25,91019251.04,0.0,40661726.04,45735427.65
Total,2018-05-31,2.49863,40201200.32,34080255.92,93614355.16,0.0,41357453.63,45997424.1
Total,2018-08-31,2.75068,38593191.68,33201900.21,93598827.65,0.0,39876503.17,46545548.26
Total,2018-11-30,3,39039035.79,33443477.81,95809124.41,0.0,40511325.02,46746496.33
Total,2019-02-28,3.24658,38533917.32,33107100.87,96397418.09,0.0,40183907.91,46951204.48
Total,2019-05-31,3.49863,38897646.88,33294547.26,99821193.7,0.0,40768154.0,47139408.62
Total,2019-08-30,3.74795,37248564.98,32355362.94,98942560.96,0.0,39234896.51,47581416.44
Total,2019-11-29,3.99726,37585097.02,32511710.87,100790535.51,0.0,39787225.62,47738621.16
Total,2020-02-28,4.24614,37088497.34,32081625.15,100325369.19,0.0,39476855.28,47911710.41
Total,2020-05-29,4.49478,37386651.42,32187448.69,103029278.7,0.0,40013099.74,48030596.43
Total,2020-08-28,4.74341,35754843.99,31330946.53,101107617.86,0.0,38477148.58,48379803.85
Total,2020-11-30,5.00024,35963462.43,31392746.86,102393177.18,0.0,38921567.2,48510897.98
Total,2021-02-26,5.2411,35348916.1,30746291.69,101190556.0,0.0,38474864.99,48651110.84
Total,2021-05-28,5.49041,35440389.72,30668542.06,102313914.9,0.0,38802574.67,48721361.36
Total,2021-08-31,5.75068,33909655.83,29702075.57,98953895.14,0.0,37355850.23,48943744.33
Total,2021-11-30,6,34148402.87,29757009.42,101085871.6,0.0,37841313.64,49038238.64
Total,2022-02-28,6.24658,33449510.44,29069076.54,99069792.4,0.0,37300038.09,49133747.41
Total,2022-05-31,6.49863,33632697.43,29075586.51,99578952.87,0.0,37745895.92,49209805.27
Total,2022-08-31,6.75068,32315550.38,28218425.1,98039632.23,0.0,36501285.71,49455104.27
Total,2022-11-30,7,32409564.78,28158387.04,98564899.77,0.0,36840711.65,49542357.61
Total,2023-02-28,7.24658,31640254.27,27407799.39,96574104.05,0.0,36200059.56,49604238.27
Total,2023-05-31,7.49863,31793036.49,27382273.1,96899142.35,0.0,36616849.43,49689090.99
Total,2023-08-31,7.75068,30416054.36,26517793.42,94155267.76,0.0,35263958.62,49852066.87
Total,2023-11-30,8,30466040.2,26509320.3,93593388.15,0.0,35554328.76,49918564.32
Total,2024-02-29,8.24887,29759814.03,25794925.26,91430659.44,0.0,34965771.38,49972908.23
Total,2024-05-31,8.50024,29763203.33,25710615.11,93236421.97,0.0,35209956.2,50000181.28
Total,2024-08-30,8.74887,28381166.45,24822138.73,89436451.21,0.0,33803111.26,50084779.38
Total,2024-11-29,8.99751,28545960.95,24852891.29,91772407.86,0.0,34230414.38,50154885.85
Total,2025-02-28,9.24658,27768764.89,24135722.84,90393565.95,0.0,33531085.17,50201982.84
Total,2025-05-30,9.49589,27823178.2,24075513.94,90445107.69,0.0,33831755.96,50249289.98
Total,2025-08-29,9.74521,26458628.37,23159682.71,86966512.79,0.0,32397497.29,50324943.24
Total,2025-11-28,9.99452,26531848.14,23115109.3,87642730.62,0.0,32714341.91,50363032.21
Total,2026-02-27,10.2438,25629815.53,22225678.52,84116972.97,0.0,31828873.15,50393542.21
Total,2026-05-29,10.4932,25669168.19,22142192.49,84149105.09,0.0,32106741.44,50415049.16
Total,2026-08-28,10.7425,24266386.4,21256210.57,80495917.7,0.0,30570186.59,50458958.79
Total,2026-11-30,11,24248778.82,21084579.46,80923168.77,0.0,30774700.19,50476510.91
Total,2027-02-26,11.2411,23534283.39,20404214.7,78654205.6,0.0,30075384.56,50502183.89
Total,2027-05-28,11.4904,23546353.38,20268581.77,78328196.3,0.0,30306993.41,50527711.03
Total,2027-08-31,11.7507,22169783.02,19538997.66,74410512.38,0.0,28749191.56,50560176.63
Total,2027-11-30,12,22129156.5,19319435.93,75272498.84,0.0,28902655.39,50577059.34
Total,2028-02-29,12.2489,21384100.03,18652086.09,74063973.81,0.0,28133705.68,50584007.64
Total,2028-05-31,12.5002,21551326.01,18569897.18,75200518.75,0.0,28563318.12,50624430.89
Total,2028-08-31,12.7516,20071972.22,17844137.0,70508886.83,0.0,26799299.15,50627542.4
Total,2028-11-30,13.0002,20023229.56,17601300.93,69619086.78,0.0,26929729.26,50632672.76
Total,2029-02-28,13.2466,19279886.69,16837502.2,66906433.88,0.0,26117500.2,50637229.2
Total,2029-05-31,13.4986,19315371.4,16678511.66,67357451.7,0.0,26359014.3,50644269.39
Total,2029-08-31,13.7507,17964670.76,16054161.28,63713659.01,0.0,24697001.26,50658044.53
Total,2029-11-30,14,17921100.73,15853639.79,63276477.01,0.0,24817261.62,50663266.62
Total,2030-02-28,14.2466,17190357.44,15169020.05,60390840.16,0.0,23977475.16,50674164.69
Total,2030-05-31,14.4986,17122798.0,14943420.47,60791680.29,0.0,24059809.28,50678095.11
Total,2030-08-30,14.7479,16053490.06,14329296.44,57096654.33,0.0,22722245.05,50686747.91
Total,2030-11-29,14.9973,16004606.86,14138680.47,56153655.9,0.0,22818704.58,50694229.5
Total,2031-02-28,15.2466,15328988.4,13490386.4,53800780.45,0.0,22013176.95,50700360.41
Total,2031-05-30,15.4959,15324507.47,13350985.11,54358480.64,0.0,22165510.55,50708038.63
Total,2031-08-29,15.7452,14105483.03,12578547.38,50910003.41,0.0,20549488.76,50712094.03
Total,2031-11-28,15.9945,14074729.89,12426374.97,50386794.37,0.0,20652605.84,50720048.17
Total,2032-02-27,16.2434,13546521.1,11897965.04,49143968.48,0.0,20020939.76,50724620.67
Total,2032-05-28,16.492,13532923.32,11764942.8,49331731.73,0.0,20145140.0,50724783.87
Total,2032-08-31,16.7516,12453931.89,11109878.16,45593385.73,0.0,18678592.69,50730665.67
Total,2032-11-30,17.0002,12448834.54,10990268.78,45151881.05,0.0,18805650.57,50733742.39
Total,2033-02-28,17.2466,11845462.74,10428155.5,44160845.07,0.0,18021849.48,50737335.19
Total,2033-05-31,17.4986,11799405.93,10272642.27,43748197.03,0.0,18082710.22,50740369.49
Total,2033-08-31,17.7507,10768561.06,9695953.04,40747695.79,0.0,16623302.68,50740369.49
Total,2033-11-30,18,10666735.53,9499852.35,40250574.92,0.0,16584910.84,50740401.68
Total,2034-02-28,18.2466,10173269.81,9074938.7,38310726.18,0.0,15930505.73,50748185.14
Total,2034-05-31,18.4986,10159370.94,8968148.38,38373407.35,0.0,16024780.56,50754377.73
Total,2034-08-31,18.7507,9166440.28,8370647.72,34993387.28,0.0,14564053.28,50755815.65
Total,2034-11-30,19,9085367.78,8222539.11,35379694.56,0.0,14539377.91,50756148.92
Total,2035-02-28,19.2466,8585926.67,7831157.78,33798185.5,0.0,13838156.18,50766997.96
Total,2035-05-31,19.4986,8443345.97,7603945.03,32622594.05,0.0,13707606.64,50769948.46
Total,2035-08-31,19.7507,7481851.8,6995327.96,29404565.91,0.0,12235238.18,50770932.6
Total,2035-11-30,20,7449610.01,6866768.31,29288805.88,0.0,12270400.28,50771920.3
