#TradeId,#CreditRating,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,A,192459.688,279388.7785,-341184.851,-496754.9211,0.0,0.0,192459.688,279388.7785,None,279388.7785,2087075.49
,AA,426442.896,245791.65836,-749935.697,-443305.68503,0.0,0.0,426442.896,245791.65836,None,245791.65836,4596781.12
,C,230567.071,209810.86,-397969.585,-370909.32,0.0,0.0,230567.071,209810.86,None,209810.86,2594089.55
,B,147877.984,166966.111,-251153.829,-287465.01,0.0,0.0,147877.984,166966.111,None,166966.111,1623205.47
,AAA,324029.3,308249.10829,-579666.96,-533807.99742,0.0,0.0,324029.3,308249.10829,None,308249.10829,3523099.7
,BB,365951.53,255836.17,-644312.572,-455648.02,0.0,0.0,365951.53,255836.17,None,255836.17,3932310.89
,CC,264584.287,150886.921,-466051.67,-265345.838,0.0,0.0,264584.287,150886.921,None,150886.921,2842147.4
,BBB,545943.303,341691.139,-965200.029,-593923.055,0.0,0.0,545943.303,341691.139,None,341691.139,5857293.37
,NR,143382.907,145992.512,-252358.512,-251466.091,0.0,0.0,143382.907,145992.512,None,145992.512,1539421.97
,CCC,205333.17902,356512.8,-368154.87719,-628329.42,0.0,0.0,205333.17902,356512.8,None,356512.8,2185464.9954
