#CreditRating,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
AA,,,,,,4118744.71555,USD,8958295.91518
A,,,,,,-1419154.38588,USD,4635268.93817
C,,,,,,362446.636107,USD,5301071.04902
B,,,,,,-1621990.89049,USD,3224712.90736
AAA,,,,,,1557491.17112,USD,8924871.34232
BB,,,,,,2649307.55848,USD,8051162.25529
CC,,,,,,1200249.57632,USD,8054311.26587
BBB,,,,,,7062275.41797,USD,14907606.6957
NR,,,,,,1380442.8374,USD,4162080.36285
CCC,,,,,,-3489586.86328,USD,4095761.25048
