#Total,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
Total,2016-06-27,0,46337442.6,34480134.15,46337442.6,-11857308.45,46337442.6,46337442.6
Total,2016-09-27,0.251366,46931751.24,34989650.58,67193034.21,0.0,47006826.06,47042091.06
Total,2016-12-28,0.502732,46821374.54,35057278.33,75232474.29,0.0,46971297.66,47805125.86
Total,2017-03-27,0.746538,47401638.87,35534588.34,82238127.78,0.0,47630282.12,48345113.12
Total,2017-06-27,0.998593,45342337.56,34241634.96,85460329.99,0.0,45640019.38,48799896.13
Total,2017-09-27,1.25065,45955163.67,34748128.86,91004369.36,0.0,46339803.33,49199365.16
Total,2017-12-27,1.49996,45563639.89,34618109.82,95301809.21,0.0,46033454.78,49515461.79
Total,2018-03-27,1.74654,46092444.37,35031177.69,100169702.17,0.0,46656540.06,49842318.99
Total,2018-06-27,1.99859,44042144.14,33751682.84,100617417.66,0.0,44668050.85,50280526.27
Total,2018-09-27,2.25065,44506743.11,34105937.63,105487781.96,0.0,45247334.98,50553855.91
Total,2018-12-27,2.49996,44071468.97,33929670.42,106393256.98,0.0,44911299.09,50811998.4
Total,2019-03-27,2.74654,44516061.47,34251703.88,109258772.24,0.0,45471027.65,51025401.86
Total,2019-06-27,2.99859,42537826.5,33024358.36,108600273.88,0.0,43554778.05,51488705.93
Total,2019-09-27,3.25065,42877339.34,33253089.91,111660928.3,0.0,44026534.12,51656475.04
Total,2019-12-27,3.49996,42388565.82,32963629.47,113722286.5,0.0,43646580.37,51854920.72
Total,2020-03-27,3.74863,42657289.15,33132815.11,116485237.3,0.0,44046321.26,51962224.33
Total,2020-06-29,4.00546,40640370.05,31992860.21,114852410.7,0.0,42085202.72,52369586.36
Total,2020-09-28,4.2541,40956735.94,32192178.54,116989225.1,0.0,42552344.03,52496360.36
Total,2020-12-29,4.50546,40395039.35,31789426.26,117516676.2,0.0,42108390.41,52633513.73
Total,2021-03-29,4.75202,40682179.96,31977858.29,119626514.1,0.0,42545668.29,52737897.28
Total,2021-06-28,5.00133,38709740.44,30759147.19,115967443.13,0.0,40616099.51,53051355.85
Total,2021-09-27,5.25065,38934311.64,30859307.4,117983112.64,0.0,41005109.12,53137476.86
Total,2021-12-29,5.50544,38167805.77,30260561.77,115693879.06,0.0,40352260.57,53219073.17
