#CreditRating,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
AA,,,,,,4279241.84441,USD,9126739.72444
A,,,,,,-1397890.04781,USD,4764826.13455
C,,,,,,400892.983817,USD,5484386.84115
B,,,,,,-1801683.07095,USD,3289080.86948
AAA,,,,,,1533154.61322,USD,9176895.21684
BB,,,,,,2816289.25855,USD,8212002.52699
CC,,,,,,1147718.33728,USD,8275297.97974
BBB,,,,,,7522419.29307,USD,15382021.898
NR,,,,,,1559248.45658,USD,4225560.87068
CCC,,,,,,-3676747.683,USD,4035354.03909
