#TradeId,#CreditRating,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,A,189130.356,293310.3682,-293831.394,-452770.0028,0.0,0.0,189130.356,293310.3682,None,293310.3682,1965474.15
,AA,466563.643,216539.8554,-721998.887,-336634.0833,0.0,0.0,466563.643,216539.8554,None,216539.8554,4715358.03
,C,304746.477,237094.55,-465219.14,-367663.07,0.0,0.0,304746.477,237094.55,None,237094.55,3162479.3
,B,156595.9277,250836.27,-238129.3881,-385404.7,0.0,0.0,156595.9277,250836.27,None,250836.27,1599557.115
,AAA,334718.79,283047.5663,-515548.1,-428370.88799,0.0,0.0,334718.79,283047.5663,None,283047.5663,3456922.2
,BB,392607.101,232741.08,-605850.628,-354248.49,0.0,0.0,392607.101,232741.08,None,232741.08,3958886.89
,CC,294775.215,183425.634,-451788.948,-283888.721,0.0,0.0,294775.215,183425.634,None,183425.634,2988516.57
,BBB,693002.927,294769.657,-1071778.623,-446115.83,0.0,0.0,693002.927,294769.657,None,294769.657,6991636.04
,NR,172544.994,108721.331,-267485.451,-162798.827,0.0,0.0,172544.994,108721.331,None,108721.331,1741633.59
,CCC,178233.0767,425909.51,-276014.6476,-655250.871,0.0,0.0,178233.0767,425909.51,None,425909.51,1797546.771
