#CreditRating,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
AA,,,,,,4191383.91145,USD,9051780.00067
A,,,,,,-1439297.01994,USD,4692138.62102
C,,,,,,356993.272995,USD,5366604.86511
B,,,,,,-1682102.7325,USD,3255572.02685
AAA,,,,,,1570289.10883,USD,9031937.4428
BB,,,,,,2704397.98165,USD,8159806.85276
CC,,,,,,1217517.47968,USD,8144304.8633
BBB,,,,,,7169033.49521,USD,15110635.5388
NR,,,,,,1459974.86019,USD,4225611.3783
CCC,,,,,,-3522387.68276,USD,4119964.04472
