#TradeId,#CreditRating,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,A,187830.499,293091.9932,-288790.899,-448296.4273,0.0,0.0,187830.499,293091.9932,None,293091.9932,1954504.28
,AA,463453.398,217517.9916,-710046.946,-335059.3018,0.0,0.0,463453.398,217517.9916,None,217517.9916,4701185.77
,C,297357.557,233213.96,-449788.14,-357995.85,0.0,0.0,297357.557,233213.96,None,233213.96,3103156.64
,B,154525.408,240497.27,-232505.235,-365972.78,0.0,0.0,154525.408,240497.27,None,240497.27,1586040.583
,AAA,335997.98,281340.08562,-512785.05,-422293.35141,0.0,0.0,335997.98,281340.08562,None,281340.08562,3483233.9
,BB,389266.685,235227.311,-594843.364,-355452.87,0.0,0.0,389266.685,235227.311,None,235227.311,3938161.43
,CC,292766.263,177390.264,-444759.079,-271781.49,0.0,0.0,292766.263,177390.264,None,177390.264,2977024.13
,BBB,678206.498,302716.645,-1038493.068,-454909.334,0.0,0.0,678206.498,302716.645,None,302716.645,6866065.48
,NR,169377.719,110922.299,-259859.331,-164991.705,0.0,0.0,169377.719,110922.299,None,110922.299,1715054.15
,CCC,181028.1826,417805.027,-277760.5114,-636873.54,0.0,0.0,181028.1826,417805.027,None,417805.027,1830699.348
