#CreditRating,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
AA,,,,,,3014642.70129,USD,8953417.78454
A,,,,,,-1449929.81759,USD,4409668.26743
C,,,,,,-81147.193026,USD,4515818.39885
B,,,,,,-776166.513448,USD,3124675.39633
AAA,,,,,,1377849.24614,USD,9017697.15906
BB,,,,,,1377031.24841,USD,7773800.17595
CC,,,,,,1476938.52318,USD,7120222.52658
BBB,,,,,,4172830.99473,USD,12907467.9515
NR,,,,,,386605.115738,USD,4108715.80335
CCC,,,,,,-2090354.53711,USD,4930399.19276
