#TradeId,#CreditRating,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,A,195436.562,284246.6292,-300315.918,-436080.917,0.0,0.0,195436.562,284246.6292,None,284246.6292,2106256.47
,AA,426878.142,247027.41281,-639502.887,-387440.7128,0.0,0.0,426878.142,247027.41281,None,247027.41281,4571968.6
,C,229490.481,207943.466,-335819.031,-319219.39,0.0,0.0,229490.481,207943.466,None,207943.466,2573182.16
,B,147302.911,169070.27,-213390.101,-243011.982,0.0,0.0,147302.911,169070.27,None,169070.27,1606657.12
,AAA,340478.56,309272.98338,-528105.93,-462686.72554,0.0,0.0,340478.56,309272.98338,None,309272.98338,3678423.3
,BB,365405.307,261922.79,-556859.1,-404530.389,0.0,0.0,365405.307,261922.79,None,261922.79,3905059.93
,CC,261702.186,144586.0,-399162.7534,-217506.5848,0.0,0.0,261702.186,144586.0,None,144586.0,2788945.6
,BBB,551528.6,358537.826,-838316.744,-536595.0688,0.0,0.0,551528.6,358537.826,None,358537.826,5888895.6
,NR,144993.839,145097.617,-221886.59,-213006.5862,0.0,0.0,144993.839,145097.617,None,145097.617,1547467.78
,CCC,214943.392267,355684.136,-333805.612199,-536608.802,0.0,0.0,214943.392267,355684.136,None,355684.136,2274291.80476
