#Total,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
Total,2015-10-31,0,42026372.4,33898505.6,42026372.4,-8127866.8,42026372.4,42026372.4
Total,2016-01-29,0.246366,41930915.77,34055904.37,59875826.2,0.0,41980691.81,42883069.81
Total,2016-04-29,0.495,42579567.12,34650466.31,68060917.2,0.0,42681321.7,43533784.7
Total,2016-07-29,0.743634,40741685.53,33692425.06,71600189.97,0.0,40901640.39,44151246.46
Total,2016-10-31,1.00046,41368452.7,34239325.23,76989047.25,0.0,41612571.56,44560955.75
Total,2017-01-31,1.25205,41224870.8,34346810.97,80258266.27,0.0,41564920.54,44998106.87
Total,2017-04-28,1.49041,41727935.87,34746802.13,85232925.84,0.0,42200202.39,45382092.32
Total,2017-07-31,1.74795,40052418.47,33896886.26,86600416.87,0.0,40641605.15,45988227.26
Total,2017-10-31,2,40527972.89,34259094.85,89825804.82,0.0,41259171.78,46233077.35
Total,2018-01-31,2.25205,40173862.34,34108107.94,92101985.83,0.0,41053847.13,46520062.43
Total,2018-04-30,2.49589,40646192.17,34447799.68,94468000.84,0.0,41690447.52,46779659.53
Total,2018-07-31,2.74795,39025900.85,33610271.36,94241226.07,0.0,40181850.61,47340950.84
Total,2018-10-31,3,39447780.65,33893431.82,96695394.32,0.0,40771817.01,47533615.27
Total,2019-01-31,3.25205,38962845.81,33575651.4,96900435.5,0.0,40461797.07,47736496.34
Total,2019-04-30,3.49589,39300592.49,33768884.54,100224835.1,0.0,41002012.28,47915818.79
Total,2019-07-31,3.74795,37669317.49,32874381.75,99338162.0,0.0,39488800.74,48366290.99
Total,2019-10-31,4,38006736.71,33066608.21,100898819.8,0.0,40033768.9,48523008.72
Total,2020-01-31,4.25183,37517122.63,32618163.13,100580236.5,0.0,39756637.63,48708544.12
Total,2020-04-30,4.49773,37804392.21,32718205.49,103146514.21,0.0,40299832.77,48823046.02
Total,2020-07-31,4.7491,36146416.27,31857974.58,100976748.85,0.0,38767232.13,49155105.39
Total,2020-10-30,4.99773,36342132.33,31903603.86,102555000.82,0.0,39212074.68,49277455.06
Total,2021-01-29,5.24658,35729277.56,31201110.16,101160926.0,0.0,38779428.33,49424589.8
