#TradeId,#CreditRating,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,A,184826.242,282900.6443,-319213.072,-487645.3921,0.0,0.0,184826.242,282900.6443,None,282900.6443,1965353.54
,AA,442732.73,227885.6986,-761026.773,-396666.3349,0.0,0.0,442732.73,227885.6986,None,227885.6986,4631100.17
,C,262159.2,217848.93,-441909.54,-375836.22,0.0,0.0,262159.2,217848.93,None,217848.93,2844191.77
,B,145833.325,204528.949,-241443.684,-346918.55,0.0,0.0,145833.325,204528.949,None,204528.949,1550058.89
,AAA,330008.56,290469.68186,-569041.41,-486213.02829,0.0,0.0,330008.56,290469.68186,None,290469.68186,3511013.1
,BB,372341.19,241842.52,-637140.933,-411646.64,0.0,0.0,372341.19,241842.52,None,241842.52,3882082.0
,CC,279278.243,159434.094,-477039.998,-274353.208,0.0,0.0,279278.243,159434.094,None,159434.094,2916362.18
,BBB,611306.847,325179.323,-1051906.23,-545963.688,0.0,0.0,611306.847,325179.323,None,325179.323,6374588.91
,NR,154965.772,122421.686,-266481.787,-202355.149,0.0,0.0,154965.772,122421.686,None,122421.686,1611031.49
,CCC,194850.65897,384797.537,-337671.5191,-658280.44,0.0,0.0,194850.65897,384797.537,None,384797.537,2022806.6092
