#CreditRating,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
AA,,,,,,3851123.88961,USD,9234963.11289
A,,,,,,-1467929.41987,USD,4528249.12879
C,,,,,,113172.490634,USD,5093101.99923
B,,,,,,-1453234.29248,USD,3096808.10239
AAA,,,,,,1538727.61927,USD,9044814.47356
BB,,,,,,2066272.55592,USD,7990847.69244
CC,,,,,,1395878.92432,USD,7838624.67751
BBB,,,,,,6202653.78278,USD,14609057.1438
NR,,,,,,1058013.10034,USD,4343514.51415
CCC,,,,,,-3019125.93149,USD,4516080.66135
