#Total,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
Total,2016-05-31,0,45755420.5,35392080.72,45755420.5,-10363339.78,45755420.5,45755420.5
Total,2016-08-31,0.251366,43606039.69,34011846.96,61308564.13,0.0,43697416.08,46359069.18
Total,2016-11-30,0.5,44189845.39,34491239.79,69446828.86,0.0,44374223.33,46812818.33
Total,2017-02-28,0.746336,43982234.63,34445213.8,74761883.5,0.0,44267295.34,47221071.34
Total,2017-05-31,0.998391,44557512.42,34879473.15,80117094.9,0.0,44961296.57,47598132.57
Total,2017-08-31,1.25045,42586084.05,33711839.54,82311796.93,0.0,43089879.61,48127543.14
Total,2017-11-30,1.49976,43125824.48,34112915.27,88143636.31,0.0,43763205.13,48431714.77
Total,2018-02-28,1.74634,42800598.28,34007532.46,91110409.12,0.0,43558922.39,48756034.92
Total,2018-05-31,1.99839,43314853.65,34373057.82,94769458.85,0.0,44212667.19,49036146.63
Total,2018-08-31,2.25045,41348629.17,33203318.24,96205116.99,0.0,42353763.02,49548111.36
Total,2018-11-30,2.49976,41870465.18,33569902.93,98750931.81,0.0,43038160.27,49797411.98
Total,2019-02-28,2.74634,41434388.36,33334390.51,100089870.0,0.0,42737103.69,50006435.21
Total,2019-05-31,2.99839,41918088.72,33641129.48,102757183.4,0.0,43388748.64,50237781.55
Total,2019-08-30,3.24771,39949929.73,32452694.06,101990242.19,0.0,41511259.69,50707442.6
Total,2019-11-29,3.49702,40343647.53,32700037.45,105752046.84,0.0,42082790.36,50893752.97
Total,2020-02-28,3.7459,39811652.17,32313162.73,106354821.31,0.0,41688753.48,51041591.42
Total,2020-05-29,3.99454,40190459.86,32534252.07,108407738.4,0.0,42248547.06,51212570.84
Total,2020-08-28,4.24317,38253030.3,31460257.51,106516549.48,0.0,40381336.34,51597763.71
Total,2020-11-30,4.5,38576451.25,31642027.27,109956898.72,0.0,40900729.38,51729055.0
Total,2021-02-26,4.74086,38014448.69,31155656.36,109594182.31,0.0,40469729.77,51879611.01
Total,2021-05-28,4.99017,38210158.02,31232879.99,109824736.94,0.0,40850158.48,51977968.96
Total,2021-08-31,5.25045,36435389.57,30138517.63,108069649.4,0.0,39142205.05,52291573.9
Total,2021-11-30,5.49976,36538233.78,30109812.71,108897118.6,0.0,39436525.61,52362199.74
Total,2022-02-28,5.74634,35852052.9,29496906.53,106440869.2,0.0,38875092.48,52437415.65
Total,2022-05-31,5.99839,36134004.88,29619841.16,108648292.24,0.0,39366321.54,52502006.15
Total,2022-08-31,6.25045,34464966.36,28511127.22,105213289.41,0.0,37736655.58,52750138.76
Total,2022-11-30,6.49976,34669239.99,28561491.04,106246565.98,0.0,38149184.59,52819935.57
Total,2023-02-28,6.74634,34037647.46,28024241.31,105455520.36,0.0,37638552.4,52912986.85
Total,2023-05-31,6.99839,34144202.91,28010068.14,105966449.56,0.0,37946338.05,52976525.65
Total,2023-08-31,7.25045,32552861.53,27029619.06,103207896.98,0.0,36368757.73,53182109.1
Total,2023-11-30,7.49976,32693462.69,27091756.31,103653177.8,0.0,36716793.04,53246802.9
Total,2024-02-29,7.74863,31962916.3,26447307.29,101016070.45,0.0,36083974.49,53301557.7
Total,2024-05-31,8,32027292.01,26465567.3,101139969.22,0.0,36347728.74,53335870.69
Total,2024-08-30,8.24863,30478361.19,25495369.42,97223205.64,0.0,34780263.02,53446845.23
Total,2024-11-29,8.49727,30535192.32,25442758.74,99169504.97,0.0,35037262.05,53473744.06
Total,2025-02-28,8.74634,29811684.2,24810454.46,96485461.71,0.0,34395702.15,53502557.18
Total,2025-05-30,8.99565,30009566.32,24884287.01,99747605.77,0.0,34814922.9,53553960.17
Total,2025-08-29,9.24497,28497274.96,23888707.2,96154160.31,0.0,33247319.6,53650632.54
