#TradeId,NettingSetId,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CSA_1,2803.28,74107.4,-4383.12,-122710,0,0,2803.28,74107.4,None,30861,40216.3
Trade_9765,CSA_1,810.257,20592.6,-1235.16,-33434.1,n/a,n/a,0,0,None,9265.43,9617.46
Trade_7634,CSA_1,37.2943,20237.8,-55.4267,-34522.2,n/a,n/a,0,0,None,541.38,829.874
Trade_1112,CSA_1,2139.8,5927.32,-3868.64,-10565.4,n/a,n/a,0,0,None,42398.2,61011
Trade_1935,CSA_1,12761,2788.76,-20994.2,-4289.73,n/a,n/a,0,0,None,129913,245034
Trade_3609,CSA_1,4518.04,42024,-6924.91,-68593.9,n/a,n/a,0,0,None,49778.4,62713.5
,CSA_10,1845.17,46683.4,-2830.7,-74893.7,0,0,1845.17,46683.4,None,20426.7,24213.9
Trade_5367,CSA_10,1.68615,74.3666,-2.83573,-129.951,n/a,n/a,0,0,None,28.8213,34.3579
Trade_8951,CSA_10,80.53,38023.5,-115.013,-61720.2,n/a,n/a,0,0,None,971.704,1358.14
Trade_8675,CSA_10,2820.83,621.858,-5021.32,-1121.79,n/a,n/a,0,0,None,57176.5,109633
Trade_1104,CSA_10,3684.38,14554.1,-5761.03,-23267.4,n/a,n/a,0,0,None,39880.4,46586.1
Trade_5410,CSA_10,1856.02,7.9071,-3291.47,-15.3978,n/a,n/a,0,0,None,81603.5,149228
,CSA_100,1298.75,52636.5,-1891.73,-86421.8,0,0,1298.75,52636.5,None,15288.5,16090
Trade_5432,CSA_100,1502.24,17444.6,-2227.45,-28196.7,n/a,n/a,0,0,None,17426.3,18374
Trade_1927,CSA_100,2434.82,33296.2,-3681.19,-53967.9,n/a,n/a,0,0,None,27640.2,29924.7
Trade_4234,CSA_100,2051.09,0.199362,-3557.45,-0.392602,n/a,n/a,0,0,None,118964,205277
Trade_2958,CSA_100,61.4368,6167.82,-117.71,-11104.7,n/a,n/a,0,0,None,1761.37,3610.14
Trade_3935,CSA_100,22.9366,501.439,-43.8969,-888.16,n/a,n/a,0,0,None,883.814,1054.73
,CSA_101,1717.26,35186.9,-2761.69,-57966.7,0,0,1717.26,35186.9,None,18096.4,25974.1
Trade_9149,CSA_101,16.9314,1.17052,-27.9355,-1.71372,n/a,n/a,0,0,None,172.973,328.753
Trade_9792,CSA_101,3781.23,13351.8,-6247.23,-22258.4,n/a,n/a,0,0,None,48641.8,63964
