#CreditRating,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
AA,,,,,,3834055.69945,USD,9069894.59747
A,,,,,,-1467703.57031,USD,4588666.00064
C,,,,,,181402.696006,USD,5126188.18664
B,,,,,,-1305287.46017,USD,3141672.91416
AAA,,,,,,1611385.12921,USD,8869519.65287
BB,,,,,,2139650.26623,USD,7876154.7166
CC,,,,,,1376588.98838,USD,7741757.67155
BBB,,,,,,6277140.53999,USD,14486994.7401
NR,,,,,,987901.567999,USD,4247021.8542
CCC,,,,,,-3073896.05657,USD,4498760.19827
