#TradeId,#CreditRating,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,A,189529.155,289003.2449,-310031.957,-472253.571,0.0,0.0,189529.155,289003.2449,None,289003.2449,1994378.55
,AA,450856.29,231136.349,-736058.472,-379448.3099,0.0,0.0,450856.29,231136.349,None,231136.349,4673116.92
,C,272293.44,222028.52,-440220.297,-362868.16,0.0,0.0,272293.44,222028.52,None,222028.52,2920262.64
,B,150088.2548,209210.1,-241204.942,-339333.15,0.0,0.0,150088.2548,209210.1,None,209210.1,1578306.714
,AAA,336191.68,285049.19736,-548778.8,-459586.19005,0.0,0.0,336191.68,285049.19736,None,285049.19736,3539097.7
,BB,378693.982,245969.81,-616704.838,-399374.95,0.0,0.0,378693.982,245969.81,None,245969.81,3915644.55
,CC,283134.339,161372.307,-459925.191,-263574.664,0.0,0.0,283134.339,161372.307,None,161372.307,2937870.67
,BBB,636099.76,328225.5,-1037814.516,-529666.355,0.0,0.0,636099.76,328225.5,None,328225.5,6581359.08
,NR,158276.289,126661.566,-258401.854,-203411.975,0.0,0.0,158276.289,126661.566,None,126661.566,1629811.75
,CCC,194279.56651,392693.382,-318151.2664,-639561.78,0.0,0.0,194279.56651,392693.382,None,392693.382,2000456.3256
