#CreditRating,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
AA,,,,,,4191442.98212,USD,9051898.54574
A,,,,,,-1439315.37387,USD,4692217.50945
C,,,,,,356968.198554,USD,5366636.83412
B,,,,,,-1682095.21723,USD,3255612.95897
AAA,,,,,,1570285.23942,USD,9032041.74508
BB,,,,,,2704481.24441,USD,8160008.48249
CC,,,,,,1217481.79042,USD,8144386.97243
BBB,,,,,,7169075.99266,USD,15110711.9226
NR,,,,,,1459984.87695,USD,4225678.55147
CCC,,,,,,-3522464.45276,USD,4120019.7263
