#TradeId,#CreditRating,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,A,187828.37,293077.219,-288789.672,-448281.4072,0.0,0.0,187828.37,293077.219,None,293077.219,1954740.02
,AA,463421.003,217505.1546,-710013.96,-335048.2284,0.0,0.0,463421.003,217505.1546,None,217505.1546,4701135.73
,C,297325.929,233203.65,-449748.2,-357985.84,0.0,0.0,297325.929,233203.65,None,233203.65,3103111.77
,B,154503.3315,240446.03,-232476.555,-365908.15,0.0,0.0,154503.3315,240446.03,None,240446.03,1585848.434
,AAA,335972.79,281328.67199,-512756.43,-422282.30603,0.0,0.0,335972.79,281328.67199,None,281328.67199,3483020.6
,BB,389265.843,235219.35,-594850.93,-355446.7,0.0,0.0,389265.843,235219.35,None,235219.35,3938149.21
,CC,292728.24,177371.265,-444712.083,-271760.566,0.0,0.0,292728.24,177371.265,None,177371.265,2976778.41
,BBB,678096.252,302683.827,-1038349.958,-454866.633,0.0,0.0,678096.252,302683.827,None,302683.827,6865773.08
,NR,169375.323,110924.114,-259858.698,-164996.768,0.0,0.0,169375.323,110924.114,None,110924.114,1715025.77
,CCC,181029.6952,417763.087,-277766.6738,-636824.487,0.0,0.0,181029.6952,417763.087,None,417763.087,1830683.205
