#Total,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
Total,2016-06-26,0,45299915.9,34181590.5,45299915.9,-11118325.4,45299915.9,45299915.9
Total,2016-09-26,0.251366,45923587.33,34721657.26,65748835.75,0.0,45996559.74,46039675.74
Total,2016-12-28,0.505464,45816760.85,34789783.59,73740568.11,0.0,45963331.01,46819637.01
Total,2017-03-27,0.74927,46385950.37,35251621.81,80352850.29,0.0,46611580.86,47341150.86
Total,2017-06-26,0.998585,44321642.32,33963694.63,83415991.94,0.0,44616640.05,47791825.76
Total,2017-09-26,1.25064,44963859.0,34494383.31,88933164.87,0.0,45349490.22,48203200.47
Total,2017-12-27,1.50269,44598752.15,34385397.46,93552107.49,0.0,45078432.75,48546846.96
Total,2018-03-26,1.74653,45140697.52,34806004.25,98222760.25,0.0,45721935.93,48878379.01
Total,2018-06-26,1.99859,43129391.63,33574721.85,98884303.02,0.0,43779457.6,49344894.85
Total,2018-09-26,2.25064,43610108.1,33932795.08,103622877.08,0.0,44378803.51,49617938.81
Total,2018-12-27,2.50269,43206586.51,33774559.84,104332282.4,0.0,44079308.99,49884634.49
Total,2019-03-26,2.74653,43651981.01,34091977.35,107509344.29,0.0,44642579.98,50095147.5
Total,2019-06-26,2.99859,41716321.16,32913861.66,106607968.0,0.0,42770832.9,50579398.81
Total,2019-09-26,3.25064,42064716.79,33135856.76,109631971.25,0.0,43261135.99,50754154.51
Total,2019-12-27,3.50269,41613049.37,32859886.97,111882311.2,0.0,42929204.05,50955965.84
Total,2020-03-26,3.74863,41892807.91,33027839.94,114559011.7,0.0,43348802.45,51060407.74
Total,2020-06-26,4,39921675.3,31933790.04,112739780.5,0.0,41437141.35,51477774.71
Total,2020-09-28,4.25683,40255078.22,32134139.52,114828075.67,0.0,41935993.93,51612536.71
Total,2020-12-29,4.5082,39725283.76,31724800.29,115716097.5,0.0,41532877.92,51751019.74
Total,2021-03-26,4.74653,40003544.54,31893571.05,117861363.7,0.0,41965981.63,51866643.59
Total,2021-06-28,5.00406,38101002.31,30729466.65,113942110.3,0.0,40116924.13,52178751.35
Total,2021-09-27,5.25338,38312003.23,30808293.15,116135217.07,0.0,40500062.19,52266718.79
Total,2021-12-29,5.50817,37542947.52,30185717.17,113943287.24,0.0,39849183.34,52356570.02
Total,2022-03-28,5.75201,37696930.02,30216475.11,114382898.02,0.0,40168960.38,52396333.52
Total,2022-06-27,6.00132,36053178.68,29131140.56,112787308.72,0.0,38570908.33,52662603.91
Total,2022-09-26,6.25064,36217479.09,29167700.93,113255946.15,0.0,38914430.92,52727869.66
Total,2022-12-28,6.50543,35546887.18,28627918.81,111862379.17,0.0,38363198.42,52816309.55
Total,2023-03-27,6.74927,35842719.42,28782075.85,113487706.99,0.0,38846520.1,52877842.76
Total,2023-06-26,6.99859,34104891.94,27710573.56,109800441.27,0.0,37123353.73,53072974.68
Total,2023-09-26,7.25064,34251741.42,27774745.44,110898344.7,0.0,37461240.13,53120052.64
Total,2023-12-27,7.50269,33564224.62,27188661.66,108828209.61,0.0,36885115.56,53162626.55
Total,2024-03-26,7.74863,33676239.36,27246386.34,108642412.48,0.0,37181568.21,53209096.0
Total,2024-06-26,8,31947313.06,26176639.96,104946298.72,0.0,35441587.3,53315369.33
Total,2024-09-26,8.25137,32129662.05,26241675.38,105067646.07,0.0,35824435.95,53357576.12
Total,2024-12-27,8.50273,31308405.55,25565821.0,104287965.67,0.0,35085764.61,53377719.43
Total,2025-03-26,8.74653,31452364.05,25587747.74,104254403.3,0.0,35420018.71,53393752.96
Total,2025-06-26,8.99859,29966609.63,24621745.92,102846535.51,0.0,33917972.39,53492195.59
Total,2025-09-26,9.25064,30077809.47,24629649.29,103325340.23,0.0,34225321.56,53519891.61
Total,2025-12-29,9.50817,29307226.88,23944948.89,100711993.89,0.0,33530532.73,53546963.88
Total,2026-03-26,9.74653,29384825.29,23924753.42,101111030.2,0.0,33789161.25,53577944.58
Total,2026-06-26,9.99859,27801020.3,22931740.45,96629075.91,0.0,32138767.39,53641356.16
Total,2026-09-28,10.2561,27779166.21,22768830.9,96062931.29,0.0,32297725.59,53654958.16
Total,2026-12-29,10.5082,27032314.65,22130110.61,92827643.79,0.0,31606106.53,53663604.35
Total,2027-03-30,10.7575,27062380.8,22041078.96,93411076.42,0.0,31817251.65,53682441.48
Total,2027-06-28,11.0041,25373524.26,21085969.11,89060184.54,0.0,29995736.61,53699937.91
Total,2027-09-27,11.2534,25569755.33,21087048.8,90353273.24,0.0,30395835.22,53727251.31
Total,2027-12-29,11.5082,24774746.09,20433754.44,86566800.38,0.0,29618167.73,53734899.37
Total,2028-03-27,11.7514,24827600.87,20303561.73,86730550.67,0.0,29842797.03,53747599.15
Total,2028-06-26,12,23136928.53,19474551.56,83153234.27,0.0,27965281.78,53751245.86
Total,2028-09-26,12.2514,23191812.65,19398014.33,84902407.19,0.0,28194237.93,53764053.81
Total,2028-12-27,12.5027,22641714.38,18842948.13,83545937.48,0.0,27685321.22,53789431.67
Total,2029-03-26,12.7465,22541711.24,18621660.82,82959814.02,0.0,27717886.24,53797856.15
Total,2029-06-26,12.9986,20962502.88,17857907.27,77117719.73,0.0,25925736.13,53810594.15
Total,2029-09-26,13.2506,20968877.54,17711174.42,77014757.61,0.0,26084212.47,53817352.95
