#TradeId,#CreditRating,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,A,186068.293,287851.8056,-284244.386,-438645.3739,0.0,0.0,186068.293,287851.8056,None,287851.8056,1945803.08
,AA,452673.887,221630.52,-690484.775,-339261.7699,0.0,0.0,452673.887,221630.52,None,221630.52,4630822.8
,C,284354.319,226168.25,-429633.04,-345181.21,0.0,0.0,284354.319,226168.25,None,226168.25,3001547.2
,B,151236.7548,227033.9,-227472.386,-344802.48,0.0,0.0,151236.7548,227033.9,None,227033.9,1566926.19
,AAA,333271.31,286180.7302,-507159.05,-430454.6965,0.0,0.0,333271.31,286180.7302,None,286180.7302,3482551.7
,BB,382358.153,237430.68,-581637.361,-359140.66,0.0,0.0,382358.153,237430.68,None,237430.68,3898842.18
,CC,287141.255,170562.019,-435307.736,-259990.512,0.0,0.0,287141.255,170562.019,None,170562.019,2941281.61
,BBB,650695.457,309641.797,-991644.231,-466140.125,0.0,0.0,650695.457,309641.797,None,309641.797,6639593.56
,NR,162552.409,116381.623,-247723.881,-173958.781,0.0,0.0,162552.409,116381.623,None,116381.623,1659065.88
,CCC,185541.4422,406317.8,-283289.2544,-617982.727,0.0,0.0,185541.4422,406317.8,None,406317.8,1890283.183
