#CreditRating,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
AA,,,,,,3930819.51871,USD,8891935.81765
A,,,,,,-1425082.23087,USD,4495013.61806
C,,,,,,288718.408158,USD,5121659.68603
B,,,,,,-1531373.69934,USD,3144111.2993
AAA,,,,,,1476964.39521,USD,8650059.63436
BB,,,,,,2486104.69593,USD,8006868.26428
CC,,,,,,1270126.99893,USD,7835339.10166
BBB,,,,,,6601343.501,USD,14471588.8662
NR,,,,,,1253149.6381,USD,4164182.3885
CCC,,,,,,-3296968.93287,USD,4177726.9043
