#CreditRating,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
AA,,,,,,3411522.194,USD,8813306.23199
A,,,,,,-1449324.1847,USD,4341606.82352
C,,,,,,24159.394004,USD,4715724.72963
B,,,,,,-1022520.89063,USD,3059407.38277
AAA,,,,,,1426900.77161,USD,8647421.36119
BB,,,,,,1803944.32753,USD,7684251.84705
CC,,,,,,1409032.4182,USD,7294445.37218
BBB,,,,,,5372431.32001,USD,13578186.2512
NR,,,,,,695535.256327,USD,4098493.03363
CCC,,,,,,-2685055.54127,USD,4582372.08677
