#TradeId,#CreditRating,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,A,186767.237,278758.5564,-309127.407,-461242.1416,0.0,0.0,186767.237,278758.5564,None,278758.5564,1989682.02
,AA,429155.354,231879.50411,-705531.222,-387714.9422,0.0,0.0,429155.354,231879.50411,None,231879.50411,4519821.7
,C,245753.384,211482.275,-398662.709,-349545.24,0.0,0.0,245753.384,211482.275,None,211482.275,2689081.38
,B,145582.9632,182801.005,-233787.488,-296449.06,0.0,0.0,145582.9632,182801.005,None,182801.005,1557908.056
,AAA,322128.76,288488.86717,-534137.92,-467964.18313,0.0,0.0,322128.76,288488.86717,None,288488.86717,3440108.2
,BB,365246.212,244406.675,-601016.89,-402660.05,0.0,0.0,365246.212,244406.675,None,244406.675,3834761.75
,CC,268287.813,152107.501,-440928.274,-250434.41,0.0,0.0,268287.813,152107.501,None,152107.501,2820337.91
,BBB,581712.757,329262.92,-959416.759,-535696.182,0.0,0.0,581712.757,329262.92,None,329262.92,6104911.36
,NR,147699.935,131935.2137,-243725.621,-212792.013,0.0,0.0,147699.935,131935.2137,None,131935.2137,1545901.29
,CCC,194087.78222,366631.789,-323126.36049,-602687.61,0.0,0.0,194087.78222,366631.789,None,366631.789,2024272.1673
