#Total,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
Total,2016-01-31,0,42868604.2,33819770.96,42868604.2,-9048833.24,42868604.2,42868604.2
Total,2016-04-29,0.243169,43473841.44,34332612.71,61342317.44,0.0,43543792.82,43593536.82
Total,2016-07-29,0.491803,41640822.28,33214935.92,67350823.6,0.0,41776488.16,44287778.56
Total,2016-10-31,0.748634,42225903.56,33687077.71,73680003.35,0.0,42440692.55,44750185.27
Total,2017-01-31,1.00022,41988065.25,33671316.28,77992920.2,0.0,42283846.7,45141365.78
Total,2017-04-28,1.23858,42595378.57,34163670.22,82556860.13,0.0,42982521.91,45553667.22
Total,2017-07-31,1.49611,40740480.87,33097527.3,85347520.44,0.0,41217502.48,46081082.29
Total,2017-10-31,1.74817,41304114.53,33523017.5,89948484.55,0.0,41894835.35,46377747.24
Total,2018-01-31,2.00022,40948439.98,33387905.0,91697362.11,0.0,41640477.77,46639830.91
Total,2018-04-30,2.24406,41385201.69,33681925.83,95659914.67,0.0,42218927.46,46893948.67
Total,2018-07-31,2.49611,39659408.49,32705084.57,95126508.42,0.0,40593621.97,47424477.77
Total,2018-10-31,2.74817,40090850.6,32978076.2,98002581.26,0.0,41172397.29,47618758.62
Total,2019-01-31,3.00022,39679752.56,32751629.64,98119313.63,0.0,40886411.37,47840750.14
Total,2019-04-30,3.24406,39999561.19,32920438.05,100978205.68,0.0,41375803.4,47998919.94
Total,2019-07-31,3.49611,38283818.45,31924851.88,101295660.67,0.0,39761100.82,48452891.58
Total,2019-10-31,3.74817,38564266.51,32064428.75,103622919.8,0.0,40214237.34,48585908.64
Total,2020-01-31,4,38113282.37,31737148.0,103201370.3,0.0,39904613.21,48768958.09
Total,2020-04-30,4.2459,38413000.33,31859054.78,105088949.98,0.0,40401660.59,48899817.18
Total,2020-07-31,4.49727,36654788.08,30895027.71,104099295.85,0.0,38732794.2,49247378.76
Total,2020-10-30,4.7459,36926033.53,31020447.4,106593199.5,0.0,39199980.34,49378982.79
Total,2021-01-29,4.99475,36302275.95,30471147.25,104637018.2,0.0,38716143.53,49515548.23
Total,2021-04-30,5.24406,36504332.12,30505080.52,106255589.3,0.0,39132683.94,49605225.32
Total,2021-07-30,5.49338,34772614.83,29380599.12,103511387.32,0.0,37469946.81,49840031.86
Total,2021-10-29,5.74269,34926944.61,29378160.36,103545012.88,0.0,37831788.15,49904430.63
Total,2022-01-31,6.00022,34378040.72,28872830.8,103154046.69,0.0,37437136.67,50001963.37
Total,2022-04-29,6.24132,34512677.16,28857182.77,103430598.14,0.0,37788011.73,50066505.34
Total,2022-07-29,6.49064,33017486.07,27849453.72,100477964.35,0.0,36354675.72,50286099.74
Total,2022-10-31,6.74817,33280335.78,27943585.05,102488580.71,0.0,36857463.26,50386594.55
Total,2023-01-31,7.00022,32487498.49,27260027.96,100290708.67,0.0,36184433.85,50467073.62
Total,2023-04-28,7.23858,32612414.88,27212973.48,101062284.91,0.0,36531891.22,50512955.39
Total,2023-07-31,7.49611,31188800.03,26312944.98,97947215.31,0.0,35154191.85,50669594.54
Total,2023-10-31,7.74817,31272549.25,26332992.16,98137575.34,0.0,35462879.7,50751339.68
Total,2024-01-31,8,30510108.36,25645527.42,95598918.25,0.0,34808581.35,50802215.52
Total,2024-04-30,8.2459,30637665.57,25673002.38,95506247.52,0.0,35168077.4,50843942.76
Total,2024-07-31,8.49727,29081842.63,24667501.73,93610536.86,0.0,33591456.39,50921106.08
Total,2024-10-31,8.74863,29209305.27,24659137.35,93684867.53,0.0,33950151.59,50962250.33
Total,2025-01-31,9.00022,28536751.51,24065332.41,93547421.86,0.0,33376378.89,51002318.48
Total,2025-04-30,9.24406,28624464.67,24035385.62,94723328.08,0.0,33686388.85,51057973.04
Total,2025-07-31,9.49611,27180829.62,23080247.86,90499827.51,0.0,32192507.79,51138591.06
Total,2025-10-31,9.74817,27234816.05,23025373.81,91157726.75,0.0,32463218.73,51163812.56
Total,2026-01-30,9.99748,26467568.6,22299586.19,88832512.78,0.0,31748706.87,51193354.06
Total,2026-04-30,10.2441,26430241.53,22151987.79,88050885.29,0.0,31910386.93,51206686.23
Total,2026-07-31,10.4961,25006774.09,21259038.57,83530001.07,0.0,30393087.9,51243394.46
Total,2026-10-30,10.7454,25012801.52,21122574.93,83908733.05,0.0,30600920.53,51269198.26
Total,2027-01-29,10.9947,24176992.24,20364925.39,81742125.08,0.0,29773505.05,51280956.76
Total,2027-04-30,11.2441,24313618.09,20341993.12,82431397.65,0.0,30139243.6,51298301.26
Total,2027-07-30,11.4934,22850071.04,19563375.18,77595801.68,0.0,28511841.45,51332995.87
Total,2027-10-29,11.7427,22889311.32,19400538.28,77516421.3,0.0,28749164.41,51349140.87
Total,2028-01-31,12,22063083.26,18685728.6,76023706.21,0.0,27900243.55,51349244.01
Total,2028-04-28,12.2404,22122388.78,18578754.42,77564727.49,0.0,28154359.47,51359717.85
Total,2028-07-31,12.4973,20845874.95,18007623.34,74127871.77,0.0,26711289.96,51370168.98
Total,2028-10-31,12.7486,20727928.05,17743081.05,73933784.56,0.0,26738005.19,51374682.77
Total,2029-01-31,13.0002,19983817.52,17002928.56,70539882.46,0.0,25950748.85,51385376.04
Total,2029-04-30,13.2441,19977533.68,16822401.03,70268148.95,0.0,26110589.93,51392644.44
Total,2029-07-31,13.4961,18649387.17,16236342.19,66484763.56,0.0,24537916.15,51404221.88
Total,2029-10-31,13.7482,18587323.86,16023909.25,66968961.49,0.0,24619989.21,51410298.93
Total,2030-01-31,14.0002,17839574.69,15357086.05,64202561.17,0.0,23787780.68,51420413.04
Total,2030-04-30,14.2441,17826746.58,15203913.87,63928583.85,0.0,23924630.13,51428317.39
Total,2030-07-31,14.4961,16551034.41,14410998.41,59749726.67,0.0,22361256.82,51437094.39
Total,2030-10-31,14.7482,16630516.11,14355726.1,59886100.9,0.0,22619086.94,51443222.38
Total,2031-01-31,15.0002,15981270.31,13733357.25,57278345.54,0.0,21881580.38,51449646.11
Total,2031-04-30,15.2441,15925214.48,13564616.8,56559373.29,0.0,21944777.02,51452986.6
Total,2031-07-31,15.4961,14750654.07,12875107.33,53310300.68,0.0,20461063.51,51459135.54
Total,2031-10-31,15.7482,14628480.33,12639808.84,53480987.89,0.0,20426191.92,51465074.03
Total,2032-01-30,15.9973,14034503.62,12091933.99,50846606.79,0.0,19725369.38,51472289.29
Total,2032-04-30,16.2459,14091965.35,12001017.41,51949991.58,0.0,19936069.51,51472909.19
Total,2032-07-30,16.4945,12965629.23,11350749.88,48580841.92,0.0,18462970.62,51480622.29
Total,2032-10-29,16.7432,12932694.84,11199383.88,48449930.75,0.0,18536890.95,51480622.29
Total,2033-01-31,17.0002,12403937.72,10727048.59,45719267.39,0.0,17899501.6,51486920.09
Total,2033-04-29,17.2413,12345741.76,10568973.33,46604910.74,0.0,17928527.83,51489940.39
Total,2033-07-29,17.4906,11234808.73,9950979.94,42406309.64,0.0,16422276.41,51489973.65
Total,2033-10-31,17.7482,11202568.52,9824972.18,42731315.1,0.0,16486132.65,51490538.33
Total,2034-01-31,18.0002,10554126.88,9305796.35,40394651.97,0.0,15634876.89,51497074.53
Total,2034-04-28,18.2386,10633057.5,9254483.05,40555240.31,0.0,15850586.17,51506162.07
Total,2034-07-31,18.4961,9584856.54,8658598.92,36935630.01,0.0,14384888.48,51507802.88
Total,2034-10-31,18.7482,9544329.19,8523509.75,36947631.28,0.0,14419073.01,51508693.11
Total,2035-01-31,19.0002,8940793.98,8039645.69,35202185.75,0.0,13596872.02,51518663.88
Total,2035-04-30,19.2441,8973232.59,8021248.23,35762492.01,0.0,13733762.74,51524280.02
Total,2035-07-31,19.4961,7822303.74,7293170.57,30781570.38,0.0,12051646.1,51525465.3
Total,2035-10-31,19.7482,7778294.91,7139364.28,31180839.54,0.0,12063328.69,51525465.3
Total,2036-01-31,20,7348286.2,6729690.23,29209245.21,0.0,11472025.24,51527669.42
