#TradeId,#CreditRating,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,A,201364.762,287830.6681,-387402.04,-554069.9373,0.0,0.0,201364.762,287830.6681,None,287830.6681,2229852.74
,AA,424073.98,267854.901662,-810780.859,-522537.19731,0.0,0.0,424073.98,267854.901662,None,267854.901662,4706381.85
,C,221981.442,203453.252,-425180.417,-392721.7,0.0,0.0,221981.442,203453.252,None,203453.252,2583480.05
,B,156225.078,157628.804,-303339.582,-303526.493,0.0,0.0,156225.078,157628.804,None,157628.804,1762009.85
,AAA,343803.58,327052.29694,-666121.11,-631447.0343,0.0,0.0,343803.58,327052.29694,None,327052.29694,3814712.7
,BB,369372.341,280123.718,-711567.977,-543409.51,0.0,0.0,369372.341,280123.718,None,280123.718,4081060.67
,CC,268772.312,136458.775,-516750.315,-259727.285,0.0,0.0,268772.312,136458.775,None,136458.775,2963549.48
,BBB,535465.327,380142.942,-1031336.567,-736656.764,0.0,0.0,535465.327,380142.942,None,380142.942,5903538.97
,NR,146580.338,164753.7699,-283132.379,-318630.351,0.0,0.0,146580.338,164753.7699,None,164753.7699,1618462.91
,CCC,228294.512875,350675.712,-442673.3348,-674464.71,0.0,0.0,228294.512875,350675.712,None,350675.712,2484022.43865
