#CreditRating,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
AA,,,,,,2375234.82774,USD,8979860.34244
A,,,,,,-1487545.77014,USD,4538020.63628
C,,,,,,-71424.941824,USD,4486977.16288
B,,,,,,-385145.316316,USD,3280779.06164
AAA,,,,,,1150998.79929,USD,8911150.18323
BB,,,,,,917864.465897,USD,7782980.63234
CC,,,,,,1796628.71099,USD,6882273.33546
BBB,,,,,,3266941.82334,USD,12343395.24
NR,,,,,,-22133.188645,USD,4053430.26591
CCC,,,,,,-1731034.76338,USD,5279438.73925
