#TradeId,NettingSetId,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CSA_1,3233.46,73756.2,-4696.93,-113996,0,0,3233.46,73756.2,None,34928.7,44824.8
Trade_9765,CSA_1,1288.16,18272.7,-1836.81,-27612.4,n/a,n/a,0,0,None,14301.8,15485.4
Trade_7634,CSA_1,66.166,18319.7,-90.1512,-29177.3,n/a,n/a,0,0,None,980.088,1326.01
Trade_1112,CSA_1,1668.13,6391.91,-2850.88,-10678.1,n/a,n/a,0,0,None,34595.4,49545.8
Trade_1935,CSA_1,13680.5,2479.59,-21016.5,-3532.62,n/a,n/a,0,0,None,138888,267462
Trade_3609,CSA_1,4251.33,46013.1,-6063.89,-70157.3,n/a,n/a,0,0,None,46008.9,59366.9
,CSA_10,2348.72,43086.8,-3392.98,-64386.8,0,0,2348.72,43086.8,None,25345.8,30634.5
Trade_5367,CSA_10,1.74119,64.765,-2.6997,-106.189,n/a,n/a,0,0,None,30.8244,35.9624
Trade_8951,CSA_10,115.517,36459.8,-155.326,-55276.2,n/a,n/a,0,0,None,1354.27,1818.62
Trade_8675,CSA_10,3343.74,338.786,-5569,-571.906,n/a,n/a,0,0,None,70735.6,123112
Trade_1104,CSA_10,4347.15,13264.6,-6390.76,-19756.1,n/a,n/a,0,0,None,45987.4,54709.3
Trade_5410,CSA_10,1585.22,3.50526,-2605.14,-6.38523,n/a,n/a,0,0,None,77659.7,122943
,CSA_100,1797.32,50016.1,-2475.86,-76652.5,0,0,1797.32,50016.1,None,20447.2,22444.7
Trade_5432,CSA_100,1263.65,18473.9,-1755.12,-27941.4,n/a,n/a,0,0,None,14411.5,15230.4
Trade_1927,CSA_100,3483.87,30103.1,-4985.01,-45473.8,n/a,n/a,0,0,None,38297.8,42425.9
Trade_4234,CSA_100,1606.11,0.0483949,-2554.07,-0.0827044,n/a,n/a,0,0,None,107689,156704
Trade_2958,CSA_100,36.7213,5698.04,-67.3321,-9580.07,n/a,n/a,0,0,None,1143.82,2366.55
Trade_3935,CSA_100,19.862,353.878,-35.7916,-578.603,n/a,n/a,0,0,None,834.809,995.871
,CSA_101,2630.15,30251.2,-4004.52,-46287.7,0,0,2630.15,30251.2,None,26958.3,41163.5
Trade_9149,CSA_101,27.0389,0.269778,-41.3559,-0.36883,n/a,n/a,0,0,None,274.606,460.968
Trade_9792,CSA_101,4750.56,11388.3,-7365.33,-17671.6,n/a,n/a,0,0,None,61887.4,83073.8
Trade_8867,CSA_101,1230.27,18964,-1749.59,-28532.4,n/a,n/a,0,0,None,13895.7,14241.1
Trade_2060,CSA_101,1532.35,2452.49,-2546.26,-4080.54,n/a,n/a,0,0,None,28326.2,39997
Trade_5582,CSA_101,227.19,2583.34,-325.818,-4026.61,n/a,n/a,0,0,None,2778.16,4166.6
,CSA_102,4865.81,37601.2,-6973.53,-56337.8,0,0,4865.81,37601.2,None,53667.7,58272.5
Trade_4808,CSA_102,0.768991,723.313,-1.09389,-1097.19,n/a,n/a,0,0,None,9.21827,12.3645
