#TradeId,#CreditRating,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,A,186068.131,287864.6567,-284232.703,-438646.3035,0.0,0.0,186068.131,287864.6567,None,287864.6567,1946101.33
,AA,452703.883,221648.5154,-690498.242,-339273.9362,0.0,0.0,452703.883,221648.5154,None,221648.5154,4631409.55
,C,284375.193,226183.15,-429645.53,-345188.21,0.0,0.0,284375.193,226183.15,None,226183.15,3001842.39
,B,151259.906,227062.1,-227498.691,-344826.92,0.0,0.0,151259.906,227062.1,None,227062.1,1567152.27
,AAA,333285.24,286189.18295,-507160.92,-430453.09222,0.0,0.0,333285.24,286189.18295,None,286189.18295,3483058.5
,BB,382357.493,237439.87,-581613.179,-359142.37,0.0,0.0,382357.493,237439.87,None,237439.87,3899116.15
,CC,287167.999,170581.477,-435330.626,-260005.423,0.0,0.0,287167.999,170581.477,None,170581.477,2941621.93
,BBB,650731.938,309667.04,-991655.006,-466165.215,0.0,0.0,650731.938,309667.04,None,309667.04,6640462.62
,NR,162555.559,116383.786,-247717.467,-173956.07,0.0,0.0,162555.559,116383.786,None,116383.786,1659319.72
,CCC,185541.0018,406341.207,-283278.4492,-617990.355,0.0,0.0,185541.0018,406341.207,None,406341.207,1890502.029
