#CreditRating,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
AA,,,,,,3930755.93769,USD,8891806.60713
A,,,,,,-1425062.18539,USD,4494933.84292
C,,,,,,288742.194993,USD,5121623.9827
B,,,,,,-1531380.80371,USD,3144067.48631
AAA,,,,,,1476967.75371,USD,8649950.5293
BB,,,,,,2486023.55442,USD,8006665.61418
CC,,,,,,1270158.23944,USD,7835248.57192
BBB,,,,,,6601302.00584,USD,14471507.0366
NR,,,,,,1253140.99599,USD,4164112.41252
CCC,,,,,,-3296895.55427,USD,4177665.38871
