#Total,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
Total,2016-06-24,0,45335898.2,34162609.37,45335898.2,-11173288.83,45335898.2,45335898.2
Total,2016-09-26,0.256831,45995305.94,34735713.11,66034379.5,0.0,46072277.24,46113602.24
Total,2016-12-28,0.510929,45887901.41,34802326.77,74058027.28,0.0,46040817.91,46893058.91
Total,2017-03-24,0.746515,46435817.7,35242030.75,80407927.81,0.0,46667358.41,47395319.41
Total,2017-06-26,1.00405,44390967.68,33973983.04,83652187.5,0.0,44696713.88,47856499.61
Total,2017-09-25,1.25336,45023667.39,34492314.77,89087579.56,0.0,45421109.8,48259023.87
Total,2017-12-27,1.50816,44658606.22,34382731.03,93701543.17,0.0,45152881.68,48604979.83
Total,2018-03-26,1.75199,45196877.46,34797661.53,98359041.81,0.0,45794639.36,48936862.58
Total,2018-06-25,2.00131,43180553.29,33559940.34,99051408.86,0.0,43847046.08,49398278.62
Total,2018-09-24,2.25063,43649757.87,33905358.38,103541440.74,0.0,44438612.47,49663083.41
Total,2018-12-24,2.49994,43236787.66,33739597.39,104411637.6,0.0,44133110.14,49925559.58
Total,2019-03-25,2.74926,43693645.25,34064885.09,107632972.61,0.0,44715866.51,50142385.78
Total,2019-06-24,2.99857,41754735.65,32881200.75,106837838.56,0.0,42843185.89,50622836.36
Total,2019-09-24,3.25063,42099683.93,33100215.07,109800287.12,0.0,43328691.23,50796576.29
Total,2019-12-24,3.49994,41633900.38,32812202.67,111802866.6,0.0,42979199.43,50994937.16
Total,2020-03-24,3.74863,41915816.74,32981813.59,114437338.5,0.0,43401395.66,51100056.82
Total,2020-06-24,4,39942083.42,31883456.44,112849472.32,0.0,41484468.31,51517712.02
Total,2020-09-24,4.25137,40264738.74,32073930.48,114866508.9,0.0,41968973.96,51649650.27
Total,2020-12-24,4.5,39715595.31,31651181.56,115575349.14,0.0,41544074.5,51788578.37
Total,2021-03-24,4.74652,40003476.11,31828357.49,117750991.0,0.0,41992647.1,51907309.98
Total,2021-06-24,4.99857,38089038.19,30652703.37,113919899.78,0.0,40127021.04,52221489.95
Total,2021-09-24,5.25063,38306450.26,30737416.56,116014462.38,0.0,40517261.51,52311115.66
Total,2021-12-29,5.51364,37547272.55,30125335.62,113928628.22,0.0,39880551.39,52401333.2
Total,2022-03-24,5.74652,37693352.02,30146143.73,114261858.19,0.0,40184102.13,52439736.91
Total,2022-06-24,5.99857,36065890.39,29070915.99,112728077.9,0.0,38603332.24,52697648.41
Total,2022-09-26,6.2561,36229730.01,29110064.19,113187940.55,0.0,38954833.27,52765974.43
Total,2022-12-28,6.5109,35549026.14,28564603.14,112037475.03,0.0,38395438.76,52858372.15
Total,2023-03-24,6.74652,35830378.23,28704790.89,113454566.53,0.0,38860803.22,52916517.37
Total,2023-06-26,7.00405,34095919.48,27640693.23,110138028.55,0.0,37148302.0,53119298.5
Total,2023-09-25,7.25336,34238317.39,27700843.26,111019684.0,0.0,37477848.33,53165162.58
Total,2023-12-27,7.50816,33557909.62,27119708.65,108803339.11,0.0,36908789.73,53209926.88
Total,2024-03-25,7.75137,33667051.03,27174654.65,108802645.97,0.0,37198376.45,53257347.21
Total,2024-06-24,8,31938033.2,26102758.4,104991878.16,0.0,35453159.66,53360761.17
Total,2024-09-24,8.25137,32122972.33,26170634.14,104996285.8,0.0,35837901.44,53401582.54
Total,2024-12-24,8.5,31298355.05,25491157.33,104431122.9,0.0,35092201.18,53421139.99
Total,2025-03-24,8.74652,31442504.97,25513417.53,104279201.29,0.0,35427830.81,53437500.41
Total,2025-06-24,8.99857,29963435.5,24552494.23,103016038.53,0.0,33931634.15,53536662.21
Total,2025-09-24,9.25063,30075236.46,24562167.76,103470781.53,0.0,34236655.55,53562653.5
Total,2025-12-24,9.49994,29300500.8,23873352.77,100866468.9,0.0,33527970.51,53589064.36
Total,2026-03-24,9.74652,29386532.73,23861786.66,101256179.62,0.0,33799134.54,53620796.97
Total,2026-06-24,9.99857,27808385.22,22873260.12,96861496.41,0.0,32151971.05,53684941.51
Total,2026-09-24,10.2506,27780851.01,22705499.52,95992601.52,0.0,32299368.26,53697619.81
Total,2026-12-24,10.4999,27034592.68,22067968.54,93015344.31,0.0,31605772.12,53705766.0
Total,2027-03-24,10.7465,27062810.49,21977177.19,93407866.16,0.0,31812062.75,53724404.72
Total,2027-06-24,10.9986,25376078.96,21024815.72,89304942.08,0.0,29996331.41,53741745.13
Total,2027-09-24,11.2506,25574491.37,21028161.72,90776480.88,0.0,30400127.45,53767415.43
Total,2027-12-29,11.5136,24784502.59,20380257.63,86805606.63,0.0,29633220.0,53776016.92
Total,2028-03-24,11.7486,24832348.88,20244748.8,87256026.06,0.0,29845795.58,53788618.92
Total,2028-06-26,12.0055,23143274.62,19419051.15,83468489.74,0.0,27974833.35,53792254.65
Total,2028-09-25,12.2541,23192153.46,19337952.99,84934875.61,0.0,28192779.48,53804368.23
Total,2028-12-27,12.5082,22650269.08,18790144.47,84009137.76,0.0,27693594.82,53830116.28
Total,2029-03-26,12.752,22549876.73,18570270.01,83189064.64,0.0,27723709.16,53837983.83
Total,2029-06-25,13.0013,20971056.05,17807904.15,77469042.44,0.0,25928833.76,53850522.33
Total,2029-09-24,13.2506,20977822.9,17662979.22,77053255.26,0.0,26084252.84,53857352.82
Total,2029-12-24,13.4999,20254890.12,17046999.61,75047438.47,0.0,25328121.55,53871576.43
Total,2030-03-25,13.7493,20209285.16,16875428.77,75396492.8,0.0,25414368.23,53875452.92
Total,2030-06-24,13.9986,18780169.82,16012042.3,70937269.06,0.0,23751066.1,53882972.51
Total,2030-09-24,14.2506,18750412.84,15859800.13,70508560.01,0.0,23849360.62,53888505.83
Total,2030-12-24,14.4999,17965924.07,15145192.62,67415957.9,0.0,22981094.2,53895888.6
Total,2031-03-24,14.7465,18064646.66,15119873.32,67921778.08,0.0,23236940.93,53896497.27
Total,2031-06-24,14.9986,16701519.86,14280398.56,62827541.38,0.0,21606655.37,53902841.97
Total,2031-09-24,15.2506,16635067.63,14118455.59,62102849.47,0.0,21647043.86,53911129.92
Total,2031-12-24,15.4999,16012689.52,13571463.41,59789156.68,0.0,20958337.22,53916997.52
Total,2032-03-24,15.7486,15868529.76,13325676.27,59525294.4,0.0,20890459.28,53917136.53
Total,2032-06-24,16,14542879.61,12530874.95,55179197.19,0.0,19257865.49,53926171.66
Total,2032-09-24,16.2514,14589971.81,12437747.4,55981391.26,0.0,19433838.65,53926171.66
Total,2032-12-29,16.5137,13970500.91,11917949.6,54124893.6,0.0,18722900.56,53931797.86
Total,2033-03-24,16.7465,13924871.53,11763179.17,54115887.0,0.0,18763124.45,53931797.86
Total,2033-06-24,16.9986,12699598.1,11099219.95,49036184.54,0.0,17212748.67,53933193.45
Total,2033-09-26,17.2561,12607175.82,10914528.02,49650952.05,0.0,17190152.99,53934339.71
Total,2033-12-28,17.5109,11933430.15,10395128.55,46742355.25,0.0,16368218.26,53939671.11
Total,2034-03-24,17.7465,11909100.86,10286912.6,47041644.55,0.0,16424625.22,53939671.11
Total,2034-06-26,18.004,10627405.77,9522697.15,42232887.42,0.0,14745024.71,53940125.2
Total,2034-09-25,18.2534,10690629.36,9459230.71,42157993.12,0.0,14919015.68,53940231.67
Total,2034-12-27,18.5082,10072727.46,8979764.46,39684642.53,0.0,14140280.45,53947739.73
Total,2035-03-27,18.7547,10026802.96,8847828.89,40114300.0,0.0,14156780.79,53947739.73
Total,2035-06-25,19.0013,8781167.66,8116989.99,35918148.43,0.0,12469391.37,53949135.56
Total,2035-09-24,19.2506,8780594.15,8064037.07,35962724.82,0.0,12541102.7,53949135.56
Total,2035-12-24,19.4999,8164365.26,7511783.17,33130887.03,0.0,11728782.55,53949135.56
Total,2036-03-24,19.7486,8133542.18,7378900.29,32809910.69,0.0,11752466.26,53949135.56
Total,2036-06-24,20,7060259.23,6720632.62,28697486.74,0.0,10261627.68,53952402.61
