#TradeId,#CreditRating,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,A,186426.533,289218.5872,-289196.206,-447533.4491,0.0,0.0,186426.533,289218.5872,None,289218.5872,1949496.02
,AA,452593.601,221424.7924,-700953.861,-344417.6471,0.0,0.0,452593.601,221424.7924,None,221424.7924,4630327.45
,C,284136.009,225579.36,-435103.33,-349593.02,0.0,0.0,284136.009,225579.36,None,225579.36,3000340.76
,B,151000.1801,225145.33,-229891.274,-346801.68,0.0,0.0,151000.1801,225145.33,None,225145.33,1565168.99
,AAA,334783.54,282841.0603,-516996.02,-430740.0408,0.0,0.0,334783.54,282841.0603,None,282841.0603,3498582.1
,BB,381839.592,238410.03,-589433.623,-365559.93,0.0,0.0,381839.592,238410.03,None,238410.03,3893801.34
,CC,286773.997,168250.643,-440978.593,-260365.244,0.0,0.0,286773.997,168250.643,None,168250.643,2937532.9
,BBB,650411.691,312213.225,-1006199.39,-476199.804,0.0,0.0,650411.691,312213.225,None,312213.225,6638465.63
,NR,162779.844,116567.67,-251903.534,-176301.095,0.0,0.0,162779.844,116567.67,None,116567.67,1661262.13
,CCC,185832.0654,404216.877,-288135.8545,-623717.251,0.0,0.0,185832.0654,404216.877,None,404216.877,1893115.889
