#CreditRating,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
AA,,,,,,3924879.83407,USD,8872371.24078
A,,,,,,-1463895.77799,USD,4497642.56069
C,,,,,,293709.838035,USD,5123877.36956
B,,,,,,-1511906.60424,USD,3150391.91207
AAA,,,,,,1554857.9406,USD,8649142.53971
BB,,,,,,2461675.42021,USD,7976923.63094
CC,,,,,,1316012.08761,USD,7803561.85102
BBB,,,,,,6531298.03403,USD,14446839.9057
NR,,,,,,1254409.02553,USD,4161985.19798
CCC,,,,,,-3242341.42057,USD,4234554.46693
