#CreditRating,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
AA,,,,,,4159436.27543,USD,8989419.78065
A,,,,,,-1406027.26881,USD,4666496.233
C,,,,,,340917.415863,USD,5317996.09539
B,,,,,,-1637441.93697,USD,3236154.87433
AAA,,,,,,1519353.36225,USD,8969646.2365
BB,,,,,,2700223.6339,USD,8111843.40204
CC,,,,,,1158356.81975,USD,8100388.12174
BBB,,,,,,7121985.34198,USD,14981813.5379
NR,,,,,,1421330.07863,USD,4176780.70104
CCC,,,,,,-3530332.90603,USD,4076533.21517
