#TradeId,#CreditRating,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,A,187004.136,290751.5646,-278525.981,-430775.3646,0.0,0.0,187004.136,290751.5646,None,290751.5646,1944202.37
,AA,460295.644,216424.3976,-683474.591,-322896.442,0.0,0.0,460295.644,216424.3976,None,216424.3976,4665796.48
,C,294942.512,232190.43,-432249.16,-345216.16,0.0,0.0,294942.512,232190.43,None,232190.43,3076012.23
,B,153494.9786,237737.18,-223876.782,-350703.79,0.0,0.0,153494.9786,237737.18,None,237737.18,1573607.009
,AAA,333839.2,281642.05854,-493381.01,-409547.88955,0.0,0.0,333839.2,281642.05854,None,281642.05854,3458026.6
,BB,386387.95,233076.848,-571880.618,-341194.55,0.0,0.0,386387.95,233076.848,None,233076.848,3905564.66
,CC,290149.224,177703.577,-426796.871,-263785.989,0.0,0.0,290149.224,177703.577,None,177703.577,2948766.34
,BBB,670540.961,298627.4282,-994606.772,-434520.774,0.0,0.0,670540.961,298627.4282,None,298627.4282,6784301.34
,NR,167054.591,110601.969,-248135.131,-159437.894,0.0,0.0,167054.591,110601.969,None,110601.969,1690375.65
,CCC,179302.5464,415480.423,-266347.7244,-613758.238,0.0,0.0,179302.5464,415480.423,None,415480.423,1812140.716
