#CreditRating,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
AA,,,,,,4258260.73234,USD,9149074.72813
A,,,,,,-1437187.61792,USD,4735767.20959
C,,,,,,380612.820354,USD,5441651.30771
B,,,,,,-1733575.14928,USD,3290945.3521
AAA,,,,,,1560606.42229,USD,9137083.12825
BB,,,,,,2749000.17117,USD,8210412.97263
CC,,,,,,1213708.02685,USD,8256523.60671
BBB,,,,,,7328073.25506,USD,15281728.9679
NR,,,,,,1487846.12652,USD,4249767.75269
CCC,,,,,,-3581428.07802,USD,4118673.36809
