#TradeId,#CreditRating,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,A,188251.39,294061.0049,-297889.382,-462789.5759,0.0,0.0,188251.39,294061.0049,None,294061.0049,1960124.34
,AA,467585.918,217890.0705,-737096.494,-345398.214,0.0,0.0,467585.918,217890.0705,None,217890.0705,4741201.08
,C,301313.355,235322.74,-469235.8,-371699.83,0.0,0.0,301313.355,235322.74,None,235322.74,3142007.46
,B,155435.5971,244548.37,-240948.107,-383010.99,0.0,0.0,155435.5971,244548.37,None,244548.37,1594293.768
,AAA,337283.26,283448.40942,-529819.23,-438233.50492,0.0,0.0,337283.26,283448.40942,None,283448.40942,3496092.8
,BB,390794.61,234581.177,-614752.167,-364880.28,0.0,0.0,390794.61,234581.177,None,234581.177,3952054.15
,CC,295902.345,180158.484,-462750.615,-284072.282,0.0,0.0,295902.345,180158.484,None,180158.484,3008422.56
,BBB,686029.388,301721.166,-1081178.101,-466845.191,0.0,0.0,686029.388,301721.166,None,301721.166,6943312.45
,NR,170288.659,110375.221,-268918.114,-169068.118,0.0,0.0,170288.659,110375.221,None,110375.221,1723866.52
,CCC,180883.9292,421591.204,-285620.2942,-661320.625,0.0,0.0,180883.9292,421591.204,None,421591.204,1828985.41
