#Total,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
Total,2016-07-04,0,47442539.1,35157640.4,47442539.1,-12284898.7,47442539.1,47442539.1
Total,2016-10-04,0.251366,47970613.78,35600349.19,67283002.64,0.0,48051416.22,48087159.22
Total,2017-01-04,0.502755,47786018.7,35596195.79,74742153.21,0.0,47947083.96,48799238.96
Total,2017-04-04,0.74933,48313150.04,36022061.12,81456255.13,0.0,48559598.4,49289109.1
Total,2017-07-05,1.00138,46132923.24,34620558.3,84209783.66,0.0,46453573.87,49704382.21
Total,2017-10-04,1.2507,46704060.75,35084029.83,89525488.69,0.0,47117238.13,50070948.43
Total,2018-01-04,1.50275,46282380.47,34929498.11,93911704.86,0.0,46789530.61,50377814.63
Total,2018-04-04,1.74933,46789970.56,35318942.1,98507123.7,0.0,47399703.04,50691657.04
Total,2018-07-05,2.00138,44659609.24,33969527.42,99154572.37,0.0,45336476.76,51113894.0
Total,2018-10-04,2.2507,45134699.89,34332294.36,103791508.71,0.0,45928907.98,51391272.69
Total,2019-01-04,2.50275,44699280.57,34164244.37,105135458.17,0.0,45597129.68,51664518.35
Total,2019-04-04,2.74933,45160464.72,34502753.2,108775804.03,0.0,46177805.39,51892831.57
Total,2019-07-05,3.00138,43138485.95,33242751.0,107831024.31,0.0,44218180.65,52356998.96
Total,2019-10-04,3.2507,43480458.39,33473855.97,111262580.66,0.0,44694529.67,52527760.25
Total,2020-01-06,3.5082,43004227.2,33205862.19,113483900.4,0.0,44334537.1,52746403.34
Total,2020-04-06,3.75683,43288770.98,33388071.18,116286905.6,0.0,44754464.45,52870143.8
Total,2020-07-06,4.00546,41204890.82,32197435.98,114836918.7,0.0,42720847.86,53273439.22
Total,2020-10-05,4.2541,41523567.07,32398532.53,117074791.3,0.0,43194912.74,53399859.92
Total,2021-01-04,4.50275,40946860.83,31989463.71,118144922.17,0.0,42737331.58,53542207.12
Total,2021-04-06,4.75481,41240988.49,32184904.89,119722208.0,0.0,43189740.99,53654967.77
Total,2021-07-06,5.00412,39215070.23,30929604.8,116575822.0,0.0,41205353.52,53974266.04
Total,2021-10-04,5.2507,39439821.03,31033161.8,118577497.35,0.0,41591414.06,54058238.3
Total,2022-01-04,5.50275,38670297.11,30441439.42,116170314.6,0.0,40930904.02,54140312.37
Total,2022-04-04,5.74933,38832448.1,30486807.55,116611128.6,0.0,41251403.09,54176391.63
Total,2022-07-05,6.00138,37125294.52,29357163.17,114924633.35,0.0,39583902.35,54447331.43
Total,2022-10-04,6.2507,37281548.08,29402714.41,115356068.67,0.0,39910482.63,54513692.15
Total,2023-01-04,6.50275,36578265.9,28872730.9,114048014.9,0.0,39317233.92,54614213.36
Total,2023-04-04,6.74933,36870475.57,29038425.36,116061169.79,0.0,39789343.49,54674428.4
Total,2023-07-05,7.00138,35023574.66,27901793.54,112379908.41,0.0,37950339.16,54899251.43
Total,2023-10-04,7.2507,35190330.56,27988395.33,113575620.27,0.0,38295283.15,54946854.52
Total,2024-01-04,7.50273,34504283.03,27435017.78,111342677.06,0.0,37712444.68,54995068.98
Total,2024-04-04,7.75137,34625335.72,27506081.15,111115637.99,0.0,38007999.95,55040630.02
Total,2024-07-05,8.00273,32821807.58,26393010.71,107185772.33,0.0,36185392.57,55154269.16
Total,2024-10-04,8.25137,33014714.97,26474110.72,107819188.52,0.0,36565786.3,55201208.66
Total,2025-01-06,8.50823,32206582.6,25838728.41,107051505.74,0.0,35840883.01,55225713.56
Total,2025-04-04,8.74933,32368177.05,25882723.34,107262683.95,0.0,36181566.78,55239536.69
Total,2025-07-07,9.00686,30833486.48,24896514.64,106109801.98,0.0,34630472.2,55343417.21
Total,2025-10-06,9.25618,30946707.0,24913441.18,106502069.32,0.0,34927851.72,55369903.38
Total,2026-01-05,9.50549,30175160.43,24253419.84,103720225.85,0.0,34223818.79,55397479.28
Total,2026-04-07,9.75755,30279514.03,24264256.05,104301870.49,0.0,34512198.91,55429246.26
Total,2026-07-06,10.0041,28625348.84,23228466.35,100033976.59,0.0,32784813.01,55498987.2
Total,2026-10-05,10.2534,28605674.63,23077931.61,99210749.27,0.0,32930168.35,55511286.9
Total,2027-01-04,10.5028,27846603.08,22448175.83,95917880.5,0.0,32220705.57,55517130.12
Total,2027-04-05,10.7521,27876436.17,22367276.46,96564637.11,0.0,32420593.18,55525616.39
Total,2027-07-06,11.0041,26125861.89,21372376.53,92234795.04,0.0,30542143.9,55543905.43
Total,2027-10-04,11.2507,26326565.43,21388762.27,93227639.68,0.0,30932841.49,55568835.33
Total,2028-01-04,11.5027,25521916.34,20748371.96,89904999.21,0.0,30142849.36,55577131.72
Total,2028-04-04,11.7514,25579221.5,20631541.09,89833499.84,0.0,30365410.09,55586071.17
Total,2028-07-05,12.0027,23820636.21,19766082.48,86050318.69,0.0,28424356.35,55590938.88
Total,2028-10-04,12.2514,23869753.2,19694091.26,87544828.22,0.0,28632687.02,55603229.74
Total,2029-01-04,12.5028,23308047.86,19149018.04,85857406.1,0.0,28107549.53,55627763.59
Total,2029-04-04,12.7493,23213172.78,18943006.73,85579954.26,0.0,28138752.87,55635797.26
Total,2029-07-05,13.0014,21571966.89,18147772.16,79668273.23,0.0,26288331.46,55651074.46
Total,2029-10-04,13.2507,21580101.78,18010697.51,79398456.18,0.0,26436556.2,55658783.3
Total,2030-01-04,13.5028,20844011.18,17402853.1,77316241.98,0.0,25670590.02,55673207.01
Total,2030-04-04,13.7493,20802702.46,17241476.97,78142744.88,0.0,25752970.84,55676900.72
Total,2030-07-05,14.0014,19311947.17,16340955.05,72835282.97,0.0,24034602.4,55682995.59
Total,2030-10-04,14.2507,19286711.34,16198621.79,72447571.66,0.0,24129441.7,55689408.43
Total,2031-01-06,14.5082,18491657.0,15488377.1,69348337.06,0.0,23260438.57,55697601.74
Total,2031-04-04,14.7493,18583774.71,15462302.99,69578422.78,0.0,23495199.28,55697985.37
Total,2031-07-07,15.0069,17160082.04,14584931.69,64745238.1,0.0,21813119.3,55703994.89
Total,2031-10-06,15.2562,17100098.64,14432626.29,63795077.96,0.0,21852692.88,55712299.48
Total,2032-01-05,15.5055,16469316.01,13887882.19,61863179.28,0.0,21158746.74,55718664.68
Total,2032-04-05,15.7541,16339365.52,13658795.86,61428740.21,0.0,21103651.53,55718664.68
Total,2032-07-06,16.0055,14941760.06,12814148.64,56655512.66,0.0,19402481.31,55728611.08
