#CreditRating,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
AA,,,,,,4167669.51771,USD,9047323.63547
A,,,,,,-1434207.95597,USD,4677739.56165
C,,,,,,365736.85475,USD,5363588.74332
B,,,,,,-1680936.41144,USD,3253621.18546
AAA,,,,,,1537673.32748,USD,9009639.35296
BB,,,,,,2687979.42909,USD,8141419.74805
CC,,,,,,1224403.72364,USD,8145118.81426
BBB,,,,,,7180748.31264,USD,15093180.8299
NR,,,,,,1428992.56842,USD,4216897.52887
CCC,,,,,,-3524566.43774,USD,4113405.90086
