#TradeId,#CreditRating,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,A,187123.093,292156.7392,-294347.963,-457324.9681,0.0,0.0,187123.093,292156.7392,None,292156.7392,1951477.65
,AA,462537.856,218260.3096,-725127.743,-343993.0122,0.0,0.0,462537.856,218260.3096,None,218260.3096,4702240.84
,C,297227.72,232533.83,-460500.81,-365219.25,0.0,0.0,297227.72,232533.83,None,232533.83,3108529.76
,B,154185.1693,240187.08,-237716.208,-374174.78,0.0,0.0,154185.1693,240187.08,None,240187.08,1586186.885
,AAA,334586.02,282355.33528,-522805.61,-434479.74108,0.0,0.0,334586.02,282355.33528,None,282355.33528,3476772.3
,BB,387966.19,234810.888,-606837.612,-363490.13,0.0,0.0,387966.19,234810.888,None,234810.888,3933746.38
,CC,293165.514,177415.343,-456144.068,-278185.963,0.0,0.0,293165.514,177415.343,None,177415.343,2987366.29
,BBB,677920.623,302171.392,-1062427.412,-465405.296,0.0,0.0,677920.623,302171.392,None,302171.392,6877339.91
,NR,168389.066,111959.961,-264328.413,-170794.156,0.0,0.0,168389.066,111959.961,None,111959.961,1708774.33
,CCC,181119.9097,418060.048,-284439.525,-652439.878,0.0,0.0,181119.9097,418060.048,None,418060.048,1835705.873
