#Total,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
Total,2016-07-01,0,46864765.0,34842875.2,46864765.0,-12021889.8,46864765.0,46864765.0
Total,2016-10-03,0.256831,47409924.67,35303696.13,66858774.74,0.0,47491496.53,47527174.53
Total,2017-01-03,0.508212,47234532.19,35308784.99,74267166.0,0.0,47395516.64,48244915.94
Total,2017-04-03,0.754787,47764635.42,35737624.7,80928114.66,0.0,48009954.31,48737309.78
Total,2017-07-03,1.0041,45600116.54,34350192.78,83519546.29,0.0,45917918.71,49151956.95
Total,2017-10-02,1.25342,46179697.95,34822269.3,88935468.12,0.0,46589629.26,49521395.79
Total,2018-01-03,1.50821,45775989.15,34684447.27,93335584.5,0.0,46282525.02,49837665.39
Total,2018-04-03,1.75479,46288880.72,35079301.17,97973459.36,0.0,46899710.57,50153773.4
Total,2018-07-02,2.00136,44173550.78,33744024.63,98539598.15,0.0,44850790.8,50577461.48
Total,2018-10-01,2.25068,44649978.84,34107730.12,103277157.4,0.0,45444769.17,50856199.65
Total,2019-01-03,2.50821,44234397.68,33958084.21,104525549.68,0.0,45135539.25,51135452.24
Total,2019-04-01,2.74931,44685114.31,34286171.74,108044854.33,0.0,45703270.77,51356706.4
Total,2019-07-01,2.99862,42676857.82,33038704.33,107038525.95,0.0,43756008.92,51823351.85
Total,2019-10-01,3.25068,43024441.84,33273910.74,110560499.6,0.0,44240357.38,51997804.83
Total,2020-01-03,3.5082,42558411.07,33011807.97,112765128.2,0.0,43892453.26,52214747.44
Total,2020-04-01,3.75137,42837023.01,33186231.05,115469813.2,0.0,44305258.85,52331145.28
Total,2020-07-01,4,40784490.13,32020371.71,113931286.6,0.0,42304871.57,52736816.36
Total,2020-10-01,4.25137,41109907.68,32227109.4,116258872.6,0.0,42786928.27,52866832.9
Total,2021-01-04,4.51095,40563420.41,31841866.35,117243926.7,0.0,42366984.17,53014240.56
Total,2021-04-01,4.74931,40836617.3,32014991.22,118894761.8,0.0,42790029.35,53120743.53
Total,2021-07-01,4.99862,38841120.81,30781398.67,115286743.9,0.0,40836524.03,53439175.41
Total,2021-10-01,5.25068,39072219.69,30888734.53,117795686.5,0.0,41236590.11,53526493.51
