#TradeId,#CreditRating,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,A,185998.965,286293.7381,-297606.318,-457303.7264,0.0,0.0,185998.965,286293.7381,None,286293.7381,1963434.47
,AA,448611.77,225111.8595,-714759.983,-362839.6609,0.0,0.0,448611.77,225111.8595,None,225111.8595,4650642.83
,C,266930.101,220088.67,-418125.842,-351756.51,0.0,0.0,266930.101,220088.67,None,220088.67,2869757.81
,B,147579.3894,206593.42,-227705.138,-325115.39,0.0,0.0,147579.3894,206593.42,None,206593.42,1553930.16
,AAA,332431.74,288654.78832,-530192.63,-448850.29644,0.0,0.0,332431.74,288654.78832,None,288654.78832,3517650.4
,BB,377881.704,242678.41,-600094.92,-383172.7,0.0,0.0,377881.704,242678.41,None,242678.41,3902378.97
,CC,282673.376,161378.344,-447664.508,-257286.81,0.0,0.0,282673.376,161378.344,None,161378.344,2926853.95
,BBB,616652.045,325822.66,-982701.832,-508417.582,0.0,0.0,616652.045,325822.66,None,325822.66,6371761.04
,NR,157960.408,120396.419,-251849.897,-185298.178,0.0,0.0,157960.408,120396.419,None,120396.419,1632053.34
,CCC,193589.6129,387843.318,-310464.5312,-615372.26,0.0,0.0,193589.6129,387843.318,None,387843.318,1993129.363
