#CreditRating,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
AA,,,,,,3715672.31025,USD,8943268.21597
A,,,,,,-1526273.39324,USD,4330599.95906
C,,,,,,175462.684292,USD,4916914.79158
B,,,,,,-1346159.3416,USD,3071462.39197
AAA,,,,,,1521833.02239,USD,8742101.54526
BB,,,,,,2178110.93077,USD,7968883.87925
CC,,,,,,1472849.64706,USD,7668345.8955
BBB,,,,,,5738776.33089,USD,13910400.5689
NR,,,,,,1073664.32659,USD,4187522.26173
CCC,,,,,,-2861579.50559,USD,4507229.0835
