#Total,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
Total,2016-06-23,0,44561680.9,34357950.5,44561680.9,-10203730.4,44561680.9,44561680.9
Total,2016-09-23,0.251366,45170943.34,34875175.69,63804024.2,0.0,45257174.2,45305707.2
Total,2016-12-23,0.5,45023604.23,34888009.91,71418205.42,0.0,45194734.81,46082994.81
Total,2017-03-23,0.746508,45564199.02,35306792.63,77623134.62,0.0,45830779.84,46586869.88
Total,2017-06-23,0.998563,43467748.46,34011918.72,80291292.15,0.0,43819900.35,47059970.52
Total,2017-09-25,1.2561,44115626.1,34528173.06,85327620.19,0.0,44580626.32,47445878.83
Total,2017-12-27,1.51089,43754164.36,34397594.87,89749569.61,0.0,44331194.78,47780717.0
Total,2018-03-23,1.74651,44268008.62,34770290.92,94053283.77,0.0,44960625.15,48079314.32
Total,2018-06-25,2.00404,42262812.77,33561541.22,94601546.33,0.0,43037908.3,48557387.16
Total,2018-09-24,2.25336,42739894.69,33897117.05,99020307.53,0.0,43654036.27,48806338.05
Total,2018-12-24,2.50267,42350286.89,33725813.49,99773026.04,0.0,43385954.09,49059145.03
Total,2019-03-25,2.75199,42812768.63,34039864.18,103127871.45,0.0,43991452.93,49301749.74
Total,2019-06-24,3.0013,40910929.33,32900869.44,102164707.43,0.0,42163486.2,49802154.57
Total,2019-09-23,3.25062,41253174.9,33094804.83,105090895.27,0.0,42666281.42,49978575.73
Total,2019-12-23,3.49993,40804896.08,32786275.31,106952874.82,0.0,42352318.05,50170077.69
Total,2020-03-23,3.74863,41103278.97,32944323.38,109401395.7,0.0,42813365.82,50294655.31
Total,2020-06-23,4,39161364.08,31888730.29,107719191.09,0.0,40936894.44,50726509.08
Total,2020-09-23,4.25137,39483495.32,32058815.63,109714063.34,0.0,41440670.42,50860950.85
Total,2020-12-23,4.5,38951903.4,31602360.86,110817399.96,0.0,41047643.97,51013553.96
Total,2021-03-23,4.74651,39238311.45,31756067.09,112864714.0,0.0,41514437.85,51141584.17
Total,2021-06-23,4.99856,37368058.3,30621489.58,109288413.4,0.0,39696971.26,51460912.46
Total,2021-09-23,5.25062,37587356.35,30689357.97,111430804.0,0.0,40110612.97,51560045.41
Total,2021-12-23,5.49993,36828082.59,30032946.65,109607026.4,0.0,39477331.16,51648830.14
Total,2022-03-23,5.74651,37001159.35,30059601.45,109877817.57,0.0,39839434.46,51694371.45
Total,2022-06-23,5.99856,35401135.93,29009623.39,107856024.65,0.0,38290135.25,51945781.19
Total,2022-09-23,6.25062,35563519.27,29030196.65,108424391.76,0.0,38651314.73,52019411.94
Total,2022-12-23,6.49993,34863083.36,28435120.92,106891027.96,0.0,38071308.25,52113710.96
