#CreditRating,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
AA,,,,,,2981161.22222,USD,8925068.7875
A,,,,,,-1309983.67161,USD,4373168.20692
C,,,,,,-54768.794107,USD,4476668.8474
B,,,,,,-700675.373409,USD,3172694.80755
AAA,,,,,,1156132.93417,USD,8773561.51845
BB,,,,,,1441456.29056,USD,7684261.01068
CC,,,,,,1426669.18381,USD,7110250.54077
BBB,,,,,,4369625.98255,USD,12969865.288
NR,,,,,,370147.458909,USD,4028901.42851
CCC,,,,,,-2220219.51397,USD,4776769.7307
