#TradeId,#CreditRating,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,A,193610.166,274414.9321,-299160.53,-424284.535,0.0,0.0,193610.166,274414.9321,None,274414.9321,2088138.1
,AA,424792.009,248079.760843,-652304.792,-388372.311626,0.0,0.0,424792.009,248079.760843,None,248079.760843,4555508.67
,C,231934.899,207438.504,-355178.217,-320980.12,0.0,0.0,231934.899,207438.504,None,207438.504,2594095.44
,B,149772.531,169371.027,-230560.01,-259500.62,0.0,0.0,149772.531,169371.027,None,169371.027,1632445.86
,AAA,329878.01,312811.21865,-513093.32,-482585.38294,0.0,0.0,329878.01,312811.21865,None,312811.21865,3568177.7
,BB,361952.626,257632.5,-559610.735,-400553.55,0.0,0.0,361952.626,257632.5,None,257632.5,3867787.17
,CC,264688.041,147653.877,-408563.85,-226623.788,0.0,0.0,264688.041,147653.877,None,147653.877,2826634.95
,BBB,555004.844,350623.43,-857690.288,-541857.996,0.0,0.0,555004.844,350623.43,None,350623.43,5918914.0
,NR,143448.484,145468.976,-221896.574,-223867.81,0.0,0.0,143448.484,145468.976,None,145468.976,1531714.84
,CCC,210727.86236,358247.161,-328285.15311,-553383.33,0.0,0.0,210727.86236,358247.161,None,358247.161,2231710.672
