#Total,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
Total,2015-09-30,0,41222196.09,33743728.0,41222196.09,-7478468.09,41222196.09,41222196.09
Total,2015-12-31,0.252055,41353473.49,34048739.98,59976705.95,0.0,41399762.08,42261094.58
Total,2016-03-31,0.500696,42084253.52,34646654.9,68467470.0,0.0,42177999.86,42936270.86
Total,2016-06-30,0.74933,40338816.62,33704583.57,72235372.53,0.0,40483309.64,43591401.62
Total,2016-09-30,1.0007,41006768.01,34229402.86,77760717.66,0.0,41222886.83,43999489.42
Total,2016-12-30,1.24933,40909270.71,34329353.54,80800582.66,0.0,41207660.31,44444915.63
Total,2017-03-31,1.49863,41460722.65,34741313.86,86069625.8,0.0,41869551.66,44821087.43
Total,2017-06-30,1.74795,39822382.19,33876696.48,87369406.12,0.0,40318525.31,45417255.25
Total,2017-09-29,1.99726,40312674.87,34214756.34,90454198.94,0.0,40919923.22,45639203.54
Total,2017-12-29,2.24658,39985452.46,34042527.03,92861697.66,0.0,40734547.39,45911192.41
Total,2018-03-29,2.49315,40482433.38,34366805.16,95227448.5,0.0,41389792.64,46158474.18
Total,2018-06-29,2.74521,38892453.07,33503878.26,94989038.06,0.0,39910995.9,46707030.59
Total,2018-09-28,2.99452,39331344.13,33748529.8,97348053.22,0.0,40508797.72,46903581.21
Total,2018-12-31,3.25205,38879359.68,33425164.82,97865494.7,0.0,40230752.55,47097222.4
Total,2019-03-29,3.49315,39235761.37,33606548.7,100997750.9,0.0,40778968.14,47270672.62
Total,2019-06-28,3.74247,37591197.3,32666542.82,99842248.1,0.0,39248298.05,47705552.65
Total,2019-09-30,4,37943649.86,32843582.22,101676515.18,0.0,39803371.27,47869433.49
Total,2019-12-31,4.25205,37460984.18,32386359.92,101352628.23,0.0,39512904.73,48034977.13
Total,2020-03-31,4.5007,37747480.89,32480414.24,103748047.85,0.0,40032215.76,48143839.23
Total,2020-06-30,4.74933,36089311.53,31598212.05,101780860.97,0.0,38482389.97,48466010.25
Total,2020-09-30,5.0007,36284602.75,31642157.48,103108243.76,0.0,38903910.21,48585211.76
Total,2020-12-31,5.25206,35676244.8,30978894.64,101920455.3,0.0,38484727.32,48718521.43
Total,2021-03-31,5.49863,35764482.62,30898564.82,102565645.86,0.0,38810394.85,48783757.68
Total,2021-06-30,5.74795,34183908.8,29883796.77,99356935.54,0.0,37319276.39,48973529.21
Total,2021-09-30,6,34413367.13,29932869.82,100866227.67,0.0,37799194.0,49063350.76
Total,2021-12-30,6.24932,33739389.95,29261255.91,99134231.27,0.0,37300568.48,49158157.09
Total,2022-03-31,6.49863,33917584.08,29263713.04,99550819.36,0.0,37742946.09,49230226.64
Total,2022-06-30,6.74795,32550179.05,28363674.31,97676455.49,0.0,36458316.64,49460505.82
Total,2022-09-30,7,32661428.98,28319581.86,98539907.03,0.0,36824937.57,49546473.74
Total,2022-12-30,7.24932,31890769.32,27547106.31,96187982.84,0.0,36200682.76,49606755.31
Total,2023-03-31,7.49863,32040952.85,27517047.51,97074530.12,0.0,36618965.6,49688552.9
Total,2023-06-30,7.74795,30633015.45,26627486.58,93995860.62,0.0,35248381.9,49836690.27
Total,2023-09-29,7.99726,30675240.95,26608150.81,93690919.26,0.0,35537429.49,49898958.04
Total,2023-12-29,8.24658,29965361.65,25893753.42,91320554.75,0.0,34956539.9,49950740.31
Total,2024-03-28,8.4925,29970485.75,25809553.87,92755817.09,0.0,35203271.72,49978528.0
Total,2024-06-28,8.74387,28569037.1,24914094.78,89167823.07,0.0,33793342.58,50056616.11
Total,2024-09-30,9.0007,28746648.46,24954378.82,92095309.97,0.0,34248010.76,50128627.03
Total,2024-12-31,9.25206,27960698.08,24224864.28,90338449.38,0.0,33554456.75,50186104.93
Total,2025-03-31,9.49863,28009467.61,24156435.87,90113355.14,0.0,33852854.43,50230415.37
Total,2025-06-30,9.74795,26611230.42,23219730.06,87179283.68,0.0,32394963.36,50298908.56
Total,2025-09-30,10,26688531.65,23173515.59,87649795.87,0.0,32726059.87,50335584.75
Total,2025-12-31,10.2521,25783215.53,22269921.85,84364239.35,0.0,31849573.41,50365004.11
Total,2026-03-31,10.4986,25820961.93,22186577.84,84151520.29,0.0,32126846.5,50384299.61
Total,2026-06-30,10.7479,24394103.85,21285014.57,80264114.99,0.0,30573401.78,50425355.83
Total,2026-09-30,11,24378821.89,21110972.35,80888325.74,0.0,30780096.05,50440850.18
Total,2026-12-31,11.2521,23672474.33,20436264.78,78577572.89,0.0,30109219.57,50468453.98
