#TradeId,#CreditRating,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,A,185822.315,285554.8679,-300425.021,-460549.4329,0.0,0.0,185822.315,285554.8679,None,285554.8679,1959547.77
,AA,451420.72,224188.3884,-726757.027,-364982.8238,0.0,0.0,451420.72,224188.3884,None,224188.3884,4669060.09
,C,271399.432,221831.69,-429990.837,-358283.51,0.0,0.0,271399.432,221831.69,None,221831.69,2908154.76
,B,148263.2868,212563.77,-231976.534,-338355.45,0.0,0.0,148263.2868,212563.77,None,212563.77,1556510.81
,AAA,334259.09,289059.28391,-538538.04,-455016.95003,0.0,0.0,334259.09,289059.28391,None,289059.28391,3529753.3
,BB,377565.213,241335.31,-606154.613,-384799.11,0.0,0.0,377565.213,241335.31,None,241335.31,3891157.58
,CC,284116.579,164057.925,-454709.861,-264420.54,0.0,0.0,284116.579,164057.925,None,164057.925,2936709.41
,BBB,625163.134,322797.607,-1007084.551,-509379.875,0.0,0.0,625163.134,322797.607,None,322797.607,6445763.19
,NR,158782.019,118506.454,-255887.284,-184571.154,0.0,0.0,158782.019,118506.454,None,118506.454,1637556.07
,CCC,192940.4708,391989.278,-312453.8114,-628520.4,0.0,0.0,192940.4708,391989.278,None,391989.278,1983467.234
