#CreditRating,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
AA,,,,,,3786697.71937,USD,8957104.26227
A,,,,,,-1495816.70529,USD,4345349.66781
C,,,,,,207101.266278,USD,4971010.69998
B,,,,,,-1414753.88609,USD,3087610.9232
AAA,,,,,,1518253.88741,USD,8724612.72885
BB,,,,,,2228368.13263,USD,7938398.04277
CC,,,,,,1425654.12766,USD,7730673.4356
BBB,,,,,,5947969.57396,USD,14038719.0431
NR,,,,,,1113615.24984,USD,4171130.61997
CCC,,,,,,-2947801.53333,USD,4427019.2592
